"Theme","Topic","Author","Posted","Link","Views_20231114_004629","Replies_20231114_004629","Views_20231114_015615","Replies_20231114_015615","Views_20231114_022927","Replies_20231114_022927","Views_20231114_031733","Replies_20231114_031733","Views_20231114_041831","Replies_20231114_041831","Views_20231114_051620","Replies_20231114_051620","Views_20231114_062134","Replies_20231114_062134","Views_20231114_071711","Replies_20231114_071711","Views_20231114_081915","Replies_20231114_081915","Views_20231114_091740","Replies_20231114_091740","Views_20231114_101853","Replies_20231114_101853","Views_20231114_111551","Replies_20231114_111551","Views_20231114_122527","Replies_20231114_122527","Views_20231114_131930","Replies_20231114_131930","Views_20231114_141659","Replies_20231114_141659","Views_20231114_152008","Replies_20231114_152008","Views_20231114_161813","Replies_20231114_161813","Views_20231114_171714","Replies_20231114_171714","Views_20231114_191419","Replies_20231114_191419","Views_20231114_201833","Replies_20231114_201833"
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3362.aspx",7079,1,7079,1,7079,1,7079,1,7080,1,7080,1,7080,1,7080,1,7080,1,7081,1,7081,1,7081,1,7081,1,7081,1,7081,1,7081,1,7081,1,7081,1,7081,1,7081,1
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3363.aspx",7114,1,7114,1,7114,1,7114,1,7115,1,7115,1,7115,1,7115,1,7115,1,7115,1,7115,1,7115,1,7115,1,7115,1,7115,1,7115,1,7115,1,7115,1,7115,1,7115,1
"Adolescent nutrition","Adolescent nutrition indicators: which ones should be included in surveys?","Natasha Lelijveld","2022-06-07","https://www.en-net.org/question/4584.aspx",1157,0,1157,0,1157,0,1157,0,1157,0,1159,0,1159,0,1159,0,1159,0,1159,0,1159,0,1159,0,1160,0,1160,0,1160,0,1161,0,1161,0,1161,0,1161,0,1161,0
"Adolescent nutrition","Adolescent Nutrition Needs during Menstruation Period","Sandra Phiri","2022-11-18","https://www.en-net.org/question/4718.aspx",912,1,912,1,912,1,912,1,912,1,913,1,913,1,913,1,913,1,913,1,913,1,913,1,913,1,913,1,913,1,913,1,913,1,914,1,914,1,914,1
"Adolescent nutrition","adolescent school age nutrition education","Anonymous 23844","2018-07-04","https://www.en-net.org/question/3373.aspx",6612,1,6612,1,6612,1,6612,1,6613,1,6613,1,6614,1,6614,1,6614,1,6614,1,6614,1,6614,1,6614,1,6614,1,6614,1,6614,1,6614,1,6614,1,6615,1,6615,1
"Adolescent nutrition","Adolescent school age nutrition education","Tamsin","2018-08-01","https://www.en-net.org/question/3403.aspx",6633,3,6633,3,6633,3,6633,3,6634,3,6634,3,6634,3,6634,3,6634,3,6635,3,6636,3,6636,3,6636,3,6636,3,6636,3,6636,3,6636,3,6636,3,6636,3,6637,3
"Adolescent nutrition","Age group of adolescents","Anonymous 35931","2020-02-15","https://www.en-net.org/question/3853.aspx",5533,1,5533,1,5533,1,5533,1,5533,1,5534,1,5534,1,5534,1,5534,1,5534,1,5534,1,5534,1,5534,1,5534,1,5534,1,5535,1,5535,1,5535,1,5535,1,5535,1
"Adolescent nutrition","anthropometry for adolescents?","Emily Mates","2018-06-29","https://www.en-net.org/question/3371.aspx",6884,2,6884,2,6884,2,6884,2,6885,2,6885,2,6885,2,6885,2,6885,2,6885,2,6885,2,6885,2,6885,2,6885,2,6885,2,6885,2,6885,2,6885,2,6885,2,6885,2
"Adolescent nutrition","Assessing nutrition knowledge in adolescents","Ursula Truebswasser","2018-07-25","https://www.en-net.org/question/3391.aspx",6929,3,6929,3,6929,3,6929,3,6930,3,6930,3,6930,3,6930,3,6930,3,6930,3,6930,3,6930,3,6930,3,6930,3,6930,3,6930,3,6930,3,6930,3,6930,3,6930,3
"Adolescent nutrition","Cut off BMI for adolescents up to 19 years old","Anonymous 35931","2021-08-22","https://www.en-net.org/question/4383.aspx",4307,1,4307,1,4307,1,4307,1,4307,1,4308,1,4308,1,4308,1,4308,1,4308,1,4308,1,4308,1,4308,1,4308,1,4308,1,4308,1,4308,1,4308,1,4309,1,4309,1
"Adolescent nutrition","health education intervention among adolescent girls","Anonymous 23844","2018-06-19","https://www.en-net.org/question/3357.aspx",6562,1,6562,1,6562,1,6562,1,6563,1,6563,1,6563,1,6563,1,6563,1,6563,1,6563,1,6563,1,6563,1,6563,1,6564,1,6564,1,6564,1,6564,1,6564,1,6564,1
"Adolescent nutrition","Is dietary diversity score-Women a good score for adolescents?","Anonymous 35931","2023-09-07","https://www.en-net.org/question/4933.aspx",311,1,311,1,311,1,311,1,311,1,311,1,312,1,312,1,312,1,312,1,312,1,312,1,312,1,312,1,312,1,312,1,312,1,312,1,312,1,312,1
"Adolescent nutrition","Is there any example of adolescent inclusive nutrition programming in general and in Covid19 situation in particular?  - COVID-19","Aisha Fatima","2020-06-12","https://www.en-net.org/question/4006.aspx",5870,1,5870,1,5870,1,5870,1,5870,1,5871,1,5871,1,5871,1,5871,1,5871,1,5871,1,5871,1,5871,1,5871,1,5871,1,5871,1,5871,1,5871,1,5872,1,5873,1
"Adolescent nutrition","Launch of research on adolescent health and nutrition","Jo Lofthouse","2018-05-23","https://www.en-net.org/question/3330.aspx",7007,0,7007,0,7008,0,7010,0,7011,0,7011,0,7011,0,7011,0,7011,0,7011,0,7011,0,7011,0,7011,0,7011,0,7011,0,7011,0,7011,0,7011,0,7011,0,7011,0
"Adolescent nutrition","MUAC tape for adults and adolescents","Ikechukwu Eberendu","2018-09-27","https://www.en-net.org/question/3455.aspx",6862,1,6862,1,6862,1,6862,1,6863,1,6863,1,6863,1,6863,1,6863,1,6864,1,6864,1,6864,1,6864,1,6864,1,6864,1,6864,1,6864,1,6864,1,6864,1,6864,1
"Adolescent nutrition","Question arising from the ENN webinar:","Stephanie Wrottesley","2021-03-03","https://www.en-net.org/question/4226.aspx",4490,1,4490,1,4490,1,4490,1,4490,1,4492,1,4492,1,4492,1,4492,1,4492,1,4492,1,4492,1,4492,1,4492,1,4492,1,4492,1,4492,1,4492,1,4492,1,4492,1
"Adolescent nutrition","Reaching out of school adolescents","Emily Mates","2018-06-18","https://www.en-net.org/question/3355.aspx",7450,3,7450,3,7450,3,7450,3,7451,3,7451,3,7451,3,7451,3,7451,3,7451,3,7451,3,7451,3,7451,3,7451,3,7451,3,7451,3,7451,3,7451,3,7451,3,7451,3
"Adolescent nutrition","Research prioritisation exercise for nutrition of school-aged children and adolescents using the CHNRI methodology.","Tamsin","2021-07-20","https://www.en-net.org/question/4358.aspx",4851,0,4851,0,4851,0,4851,0,4851,0,4852,0,4852,0,4852,0,4852,0,4852,0,4852,0,4852,0,4852,0,4852,0,4852,0,4852,0,4852,0,4852,0,4852,0,4852,0
"Adolescent nutrition","Stages of adolescence","Anonymous 35931","2023-02-08","https://www.en-net.org/question/4779.aspx",683,1,683,1,683,1,683,1,683,1,684,1,684,1,684,1,684,1,684,1,684,1,684,1,684,1,684,1,684,1,684,1,684,1,684,1,684,1,684,1
"Adolescent nutrition","Teen/adolescent pregnancy and under-nutrition","Anne Holmes","2018-06-19","https://www.en-net.org/question/3358.aspx",7019,1,7019,1,7019,1,7019,1,7020,1,7020,1,7020,1,7020,1,7020,1,7020,1,7020,1,7021,1,7021,1,7021,1,7021,1,7021,1,7021,1,7021,1,7021,1,7021,1
"Adolescent nutrition","The Effect of Unplanned Pregnancy among Women Collage in Wadajir Distract Moqdisho Somalia","Mohamed Hassan Mohamed","2021-02-01","https://www.en-net.org/question/4190.aspx",4683,0,4683,0,4683,0,4683,0,4683,0,4684,0,4684,0,4684,0,4684,0,4684,0,4684,0,4684,0,4684,0,4684,0,4684,0,4685,0,4685,0,4685,0,4685,0,4685,0
"Adolescent nutrition","Webinar question: 'enabling environments' for adolescent health and nutrition","Stephanie Wrottesley","2021-03-03","https://www.en-net.org/question/4227.aspx",4747,2,4748,2,4748,2,4748,2,4748,2,4749,2,4749,2,4749,2,4749,2,4750,2,4750,2,4750,2,4750,2,4750,2,4750,2,4750,2,4750,2,4750,2,4750,2,4750,2
"Adolescent nutrition","Webinar question: Are there guidelines for the use of food and nutrition in prevention and management of NCDs in adolescence in the context of school and at home?","NATASHA LELIJVELD","2021-03-04","https://www.en-net.org/question/4230.aspx",4877,1,4877,1,4877,1,4877,1,4877,1,4878,1,4878,1,4878,1,4878,1,4879,1,4880,1,4880,1,4880,1,4880,1,4880,1,4880,1,4880,1,4880,1,4880,1,4880,1
"Adolescent nutrition","Webinar question: can anyone share guidance to measure the dietary diversity for adolescents ?","Natasha Lelijveld","2021-03-09","https://www.en-net.org/question/4238.aspx",4459,0,4459,0,4459,0,4459,0,4459,0,4460,0,4460,0,4460,0,4460,0,4460,0,4460,0,4460,0,4460,0,4460,0,4460,0,4460,0,4460,0,4461,0,4461,0,4461,0
"Adolescent nutrition","Webinar question: Can you comment on how participatory activities for designing adolescent nutrition solutions can consider the gender and religious influences on adolescent nutrition ?","Natasha Lelijveld","2021-03-18","https://www.en-net.org/question/4255.aspx",5362,5,5362,5,5362,5,5362,5,5362,5,5363,5,5363,5,5363,5,5363,5,5363,5,5363,5,5363,5,5363,5,5363,5,5363,5,5363,5,5363,5,5363,5,5363,5,5363,5
"Adolescent nutrition","Webinar question: Could the appeal for using social media for improving nutrition knowledge and practices be different in urban areas vs. rural areas?","Natasha Lelijveld","2021-03-18","https://www.en-net.org/question/4254.aspx",4610,0,4610,0,4610,0,4610,0,4610,0,4611,0,4611,0,4611,0,4611,0,4611,0,4611,0,4611,0,4611,0,4611,0,4611,0,4611,0,4611,0,4611,0,4611,0,4611,0
"Adolescent nutrition","Webinar question: Given that our school curricular are loaded already, how best can nutrition education be dispensed in schools? What best practice evidence is there?","Stephanie Wrottesley","2021-03-11","https://www.en-net.org/question/4244.aspx",5865,7,5865,7,5865,7,5865,7,5865,7,5866,7,5866,7,5866,7,5866,7,5866,7,5866,7,5866,7,5866,7,5866,7,5866,7,5866,7,5866,7,5866,7,5866,7,5866,7
"Adolescent nutrition","Webinar question: How can an ethnographic, participatory approach to adolescent intervention be scaleable?","Natasha Lelijveld","2021-03-18","https://www.en-net.org/question/4253.aspx",4742,1,4742,1,4742,1,4742,1,4742,1,4743,1,4743,1,4743,1,4743,1,4743,1,4743,1,4743,1,4743,1,4743,1,4743,1,4743,1,4743,1,4743,1,4743,1,4743,1
"Adolescent nutrition","Webinar question: I would be interested to know about any work or insights into eating disorders amongst adolescents in LMICs?","Stephanie Wrottesley","2021-03-05","https://www.en-net.org/question/4234.aspx",4412,0,4412,0,4412,0,4412,0,4412,0,4413,0,4413,0,4413,0,4413,0,4413,0,4413,0,4413,0,4413,0,4413,0,4413,0,4413,0,4413,0,4413,0,4413,0,4413,0
"Adolescent nutrition","Webinar question: Is there any attempt to use MUAC for adolescent?","NATASHA LELIJVELD","2021-03-02","https://www.en-net.org/question/4219.aspx",4856,1,4856,1,4856,1,4856,1,4856,1,4857,1,4857,1,4858,1,4859,1,4859,1,4859,1,4859,1,4859,1,4859,1,4859,1,4859,1,4859,1,4860,1,4860,1,4860,1
"Adolescent nutrition","Webinar question: Is there information, or any studies, on nutrition status among adolescents living with HIV?","Stephanie Wrottesley","2021-03-05","https://www.en-net.org/question/4233.aspx",4413,0,4413,0,4413,0,4413,0,4413,0,4414,0,4414,0,4414,0,4414,0,4414,0,4414,0,4414,0,4414,0,4414,0,4414,0,4414,0,4414,0,4414,0,4414,0,4414,0
"Adolescent nutrition","Webinar question: What major interventions should we focus on to improve adolescent nutrition?","Natasha Lelijveld","2021-03-09","https://www.en-net.org/question/4239.aspx",4828,1,4828,1,4828,1,4828,1,4828,1,4829,1,4829,1,4829,1,4829,1,4829,1,4829,1,4829,1,4829,1,4829,1,4829,1,4829,1,4829,1,4829,1,4829,1,4829,1
"Adolescent nutrition","Webinar question: What promising practices or evidence-based approaches have been effective in addressing adolescent anaemia?","NATASHA LELIJVELD","2021-03-04","https://www.en-net.org/question/4229.aspx",4677,1,4677,1,4677,1,4677,1,4677,1,4678,1,4678,1,4678,1,4678,1,4679,1,4679,1,4679,1,4679,1,4680,1,4680,1,4680,1,4680,1,4680,1,4680,1,4681,1
