"Theme","Topic","Author","Posted","Link","Views_20230401_004815","Replies_20230401_004815","Views_20230401_020559","Replies_20230401_020559","Views_20230401_023711","Replies_20230401_023711","Views_20230401_031347","Replies_20230401_031347","Views_20230401_041506","Replies_20230401_041506","Views_20230401_051325","Replies_20230401_051325","Views_20230401_061616","Replies_20230401_061616","Views_20230401_071306","Replies_20230401_071306","Views_20230401_081524","Replies_20230401_081524","Views_20230401_091255","Replies_20230401_091255","Views_20230401_101349","Replies_20230401_101349","Views_20230401_111141","Replies_20230401_111141","Views_20230401_121852","Replies_20230401_121852","Views_20230401_131414","Replies_20230401_131414","Views_20230401_141218","Replies_20230401_141218","Views_20230401_151322","Replies_20230401_151322","Views_20230401_161442","Replies_20230401_161442","Views_20230401_171213","Replies_20230401_171213","Views_20230401_181435","Replies_20230401_181435","Views_20230401_191136","Replies_20230401_191136","Views_20230401_201342","Replies_20230401_201342","Views_20230401_211226","Replies_20230401_211226","Views_20230401_221233","Replies_20230401_221233","Views_20230401_231305","Replies_20230401_231305","Views_20230402_004913","Replies_20230402_004913","Views_20230402_020653","Replies_20230402_020653","Views_20230402_031403","Replies_20230402_031403","Views_20230402_041445","Replies_20230402_041445","Views_20230402_051254","Replies_20230402_051254","Views_20230402_061527","Replies_20230402_061527","Views_20230402_071244","Replies_20230402_071244","Views_20230402_081506","Replies_20230402_081506","Views_20230402_091247","Replies_20230402_091247"
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3362.aspx",6627,1,6628,1,6628,1,6628,1,6628,1,6628,1,6628,1,6628,1,6628,1,6628,1,6628,1,6628,1,6628,1,6628,1,6628,1,6629,1,6630,1,6630,1,6630,1,6630,1,6630,1,6630,1,6630,1,6630,1,6630,1,6630,1,6630,1,6630,1,6630,1,6630,1,6630,1,6630,1,6630,1
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3363.aspx",6664,1,6665,1,6665,1,6665,1,6665,1,6665,1,6665,1,6665,1,6665,1,6665,1,6665,1,6665,1,6665,1,6665,1,6665,1,6665,1,6665,1,6665,1,6665,1,6665,1,6665,1,6665,1,6665,1,6665,1,6665,1,6665,1,6665,1,6665,1,6665,1,6665,1,6665,1,6665,1,6665,1
"Adolescent nutrition","Adolescent nutrition indicators: which ones should be included in surveys?","Natasha Lelijveld","2022-06-07","https://www.en-net.org/question/4584.aspx",683,0,683,0,683,0,683,0,683,0,683,0,683,0,683,0,683,0,683,0,683,0,683,0,683,0,683,0,683,0,683,0,683,0,683,0,683,0,683,0,683,0,683,0,683,0,684,0,684,0,684,0,684,0,684,0,684,0,684,0,684,0,684,0,684,0
"Adolescent nutrition","Adolescent Nutrition Needs during Menstruation Period","Sandra Phiri","2022-11-18","https://www.en-net.org/question/4718.aspx",452,1,452,1,452,1,452,1,452,1,452,1,452,1,452,1,452,1,452,1,452,1,452,1,453,1,453,1,453,1,453,1,453,1,453,1,453,1,453,1,453,1,453,1,453,1,453,1,453,1,453,1,453,1,453,1,453,1,453,1,453,1,453,1,453,1
"Adolescent nutrition","adolescent school age nutrition education","Anonymous 23844","2018-07-04","https://www.en-net.org/question/3373.aspx",6172,1,6173,1,6173,1,6173,1,6173,1,6173,1,6173,1,6173,1,6173,1,6173,1,6173,1,6173,1,6173,1,6173,1,6173,1,6173,1,6174,1,6174,1,6174,1,6174,1,6174,1,6174,1,6174,1,6174,1,6174,1,6175,1,6175,1,6175,1,6175,1,6175,1,6175,1,6175,1,6175,1
"Adolescent nutrition","Adolescent school age nutrition education","Tamsin","2018-08-01","https://www.en-net.org/question/3403.aspx",6217,3,6218,3,6218,3,6218,3,6218,3,6218,3,6218,3,6218,3,6218,3,6218,3,6218,3,6218,3,6218,3,6218,3,6218,3,6218,3,6218,3,6218,3,6218,3,6218,3,6218,3,6218,3,6218,3,6218,3,6218,3,6218,3,6218,3,6218,3,6218,3,6218,3,6218,3,6218,3,6218,3
"Adolescent nutrition","Age group of adolescents","Anonymous 35931","2020-02-15","https://www.en-net.org/question/3853.aspx",5093,1,5093,1,5093,1,5093,1,5093,1,5093,1,5093,1,5093,1,5093,1,5093,1,5093,1,5093,1,5093,1,5093,1,5093,1,5093,1,5093,1,5093,1,5093,1,5093,1,5093,1,5093,1,5093,1,5093,1,5093,1,5093,1,5093,1,5093,1,5093,1,5093,1,5093,1,5093,1,5093,1
"Adolescent nutrition","anthropometry for adolescents?","Emily Mates","2018-06-29","https://www.en-net.org/question/3371.aspx",6447,2,6448,2,6448,2,6448,2,6448,2,6448,2,6448,2,6448,2,6448,2,6448,2,6448,2,6448,2,6448,2,6448,2,6448,2,6448,2,6448,2,6448,2,6448,2,6448,2,6449,2,6449,2,6449,2,6449,2,6449,2,6449,2,6449,2,6449,2,6449,2,6449,2,6449,2,6449,2,6449,2
"Adolescent nutrition","Assessing nutrition knowledge in adolescents","Ursula Truebswasser","2018-07-25","https://www.en-net.org/question/3391.aspx",6497,3,6498,3,6498,3,6498,3,6498,3,6498,3,6498,3,6498,3,6498,3,6498,3,6498,3,6498,3,6498,3,6498,3,6498,3,6498,3,6498,3,6498,3,6498,3,6498,3,6498,3,6498,3,6498,3,6498,3,6498,3,6498,3,6498,3,6498,3,6498,3,6498,3,6498,3,6498,3,6498,3
"Adolescent nutrition","Cut off BMI for adolescents up to 19 years old","Anonymous 35931","2021-08-22","https://www.en-net.org/question/4383.aspx",3846,1,3846,1,3846,1,3846,1,3846,1,3846,1,3846,1,3846,1,3846,1,3846,1,3846,1,3846,1,3847,1,3847,1,3848,1,3848,1,3848,1,3848,1,3848,1,3848,1,3848,1,3848,1,3848,1,3848,1,3848,1,3848,1,3848,1,3848,1,3848,1,3848,1,3848,1,3848,1,3848,1
"Adolescent nutrition","health education intervention among adolescent girls","Anonymous 23844","2018-06-19","https://www.en-net.org/question/3357.aspx",6122,1,6123,1,6123,1,6123,1,6123,1,6123,1,6123,1,6123,1,6123,1,6123,1,6123,1,6123,1,6123,1,6123,1,6123,1,6123,1,6123,1,6123,1,6123,1,6123,1,6123,1,6124,1,6124,1,6125,1,6125,1,6125,1,6125,1,6125,1,6125,1,6125,1,6125,1,6125,1,6125,1
"Adolescent nutrition","Is there any example of adolescent inclusive nutrition programming in general and in Covid19 situation in particular?  - COVID-19","Aisha Fatima","2020-06-12","https://www.en-net.org/question/4006.aspx",5401,1,5401,1,5401,1,5401,1,5401,1,5401,1,5401,1,5401,1,5401,1,5401,1,5401,1,5401,1,5402,1,5402,1,5402,1,5402,1,5403,1,5403,1,5403,1,5403,1,5404,1,5404,1,5404,1,5404,1,5404,1,5404,1,5404,1,5404,1,5404,1,5404,1,5404,1,5404,1,5405,1
"Adolescent nutrition","Launch of research on adolescent health and nutrition","Jo Lofthouse","2018-05-23","https://www.en-net.org/question/3330.aspx",6568,0,6569,0,6569,0,6570,0,6570,0,6570,0,6570,0,6570,0,6570,0,6570,0,6570,0,6570,0,6570,0,6570,0,6570,0,6570,0,6570,0,6570,0,6571,0,6571,0,6571,0,6571,0,6571,0,6571,0,6571,0,6571,0,6571,0,6571,0,6571,0,6571,0,6571,0,6571,0,6571,0
"Adolescent nutrition","MUAC tape for adults and adolescents","Ikechukwu Eberendu","2018-09-27","https://www.en-net.org/question/3455.aspx",6422,1,6423,1,6423,1,6423,1,6423,1,6423,1,6423,1,6423,1,6423,1,6423,1,6423,1,6423,1,6423,1,6423,1,6423,1,6423,1,6423,1,6423,1,6423,1,6423,1,6423,1,6423,1,6423,1,6423,1,6423,1,6423,1,6423,1,6423,1,6423,1,6423,1,6423,1,6423,1,6423,1
"Adolescent nutrition","Question arising from the ENN webinar:","Stephanie Wrottesley","2021-03-03","https://www.en-net.org/question/4226.aspx",4067,1,4067,1,4067,1,4067,1,4067,1,4067,1,4067,1,4067,1,4067,1,4067,1,4067,1,4067,1,4067,1,4067,1,4067,1,4067,1,4067,1,4067,1,4067,1,4067,1,4067,1,4067,1,4067,1,4067,1,4067,1,4067,1,4067,1,4067,1,4067,1,4067,1,4067,1,4067,1,4067,1
"Adolescent nutrition","Reaching out of school adolescents","Emily Mates","2018-06-18","https://www.en-net.org/question/3355.aspx",6970,3,6971,3,6971,3,6971,3,6971,3,6971,3,6972,3,6972,3,6972,3,6972,3,6972,3,6972,3,6972,3,6972,3,6972,3,6972,3,6972,3,6972,3,6973,3,6973,3,6973,3,6973,3,6973,3,6973,3,6973,3,6973,3,6973,3,6974,3,6974,3,6974,3,6975,3,6976,3,6976,3
"Adolescent nutrition","Research prioritisation exercise for nutrition of school-aged children and adolescents using the CHNRI methodology.","Tamsin","2021-07-20","https://www.en-net.org/question/4358.aspx",4408,0,4408,0,4408,0,4408,0,4408,0,4408,0,4409,0,4409,0,4409,0,4409,0,4409,0,4409,0,4409,0,4409,0,4409,0,4409,0,4409,0,4409,0,4409,0,4409,0,4409,0,4409,0,4409,0,4409,0,4409,0,4409,0,4409,0,4409,0,4409,0,4410,0,4410,0,4410,0,4410,0
"Adolescent nutrition","Stages of adolescence","Anonymous 35931","2023-02-08","https://www.en-net.org/question/4779.aspx",205,1,205,1,205,1,205,1,205,1,206,1,206,1,206,1,206,1,206,1,206,1,206,1,206,1,206,1,206,1,206,1,206,1,206,1,206,1,206,1,206,1,206,1,206,1,206,1,206,1,206,1,206,1,206,1,206,1,206,1,206,1,206,1,206,1
"Adolescent nutrition","Teen/adolescent pregnancy and under-nutrition","Anne Holmes","2018-06-19","https://www.en-net.org/question/3358.aspx",6536,1,6537,1,6537,1,6537,1,6537,1,6537,1,6537,1,6537,1,6537,1,6538,1,6539,1,6539,1,6539,1,6539,1,6539,1,6539,1,6539,1,6539,1,6539,1,6539,1,6539,1,6539,1,6539,1,6539,1,6539,1,6539,1,6539,1,6539,1,6539,1,6539,1,6539,1,6539,1,6539,1
"Adolescent nutrition","The Effect of Unplanned Pregnancy among Women Collage in Wadajir Distract Moqdisho Somalia","Mohamed Hassan Mohamed","2021-02-01","https://www.en-net.org/question/4190.aspx",4304,0,4304,0,4304,0,4304,0,4304,0,4304,0,4304,0,4304,0,4304,0,4304,0,4304,0,4304,0,4304,0,4304,0,4304,0,4304,0,4304,0,4304,0,4304,0,4304,0,4304,0,4305,0,4305,0,4305,0,4305,0,4305,0,4305,0,4305,0,4305,0,4305,0,4305,0,4305,0,4305,0
"Adolescent nutrition","Webinar question: 'enabling environments' for adolescent health and nutrition","Stephanie Wrottesley","2021-03-03","https://www.en-net.org/question/4227.aspx",4327,2,4327,2,4327,2,4327,2,4327,2,4327,2,4327,2,4327,2,4327,2,4327,2,4327,2,4328,2,4328,2,4328,2,4328,2,4328,2,4328,2,4328,2,4328,2,4328,2,4328,2,4328,2,4329,2,4329,2,4329,2,4329,2,4329,2,4329,2,4329,2,4329,2,4330,2,4330,2,4330,2
"Adolescent nutrition","Webinar question: Are there guidelines for the use of food and nutrition in prevention and management of NCDs in adolescence in the context of school and at home?","NATASHA LELIJVELD","2021-03-04","https://www.en-net.org/question/4230.aspx",4460,1,4460,1,4460,1,4460,1,4460,1,4460,1,4460,1,4460,1,4460,1,4460,1,4460,1,4460,1,4460,1,4460,1,4460,1,4460,1,4460,1,4460,1,4460,1,4460,1,4460,1,4460,1,4460,1,4460,1,4460,1,4460,1,4460,1,4460,1,4460,1,4460,1,4460,1,4460,1,4460,1
"Adolescent nutrition","Webinar question: can anyone share guidance to measure the dietary diversity for adolescents ?","Natasha Lelijveld","2021-03-09","https://www.en-net.org/question/4238.aspx",3996,0,3996,0,3996,0,3996,0,3996,0,3996,0,3996,0,3996,0,3996,0,3996,0,3996,0,3996,0,3996,0,3996,0,3996,0,3996,0,3996,0,3996,0,3997,0,3997,0,3997,0,3997,0,3998,0,3998,0,3998,0,3998,0,3998,0,3998,0,3998,0,3998,0,3998,0,3998,0,3998,0
"Adolescent nutrition","Webinar question: Can you comment on how participatory activities for designing adolescent nutrition solutions can consider the gender and religious influences on adolescent nutrition ?","Natasha Lelijveld","2021-03-18","https://www.en-net.org/question/4255.aspx",4945,5,4945,5,4945,5,4945,5,4945,5,4945,5,4945,5,4945,5,4945,5,4945,5,4945,5,4945,5,4945,5,4945,5,4945,5,4945,5,4945,5,4945,5,4945,5,4945,5,4946,5,4947,5,4947,5,4947,5,4947,5,4947,5,4947,5,4947,5,4947,5,4947,5,4947,5,4948,5,4948,5
"Adolescent nutrition","Webinar question: Could the appeal for using social media for improving nutrition knowledge and practices be different in urban areas vs. rural areas?","Natasha Lelijveld","2021-03-18","https://www.en-net.org/question/4254.aspx",4160,0,4160,0,4160,0,4160,0,4160,0,4160,0,4160,0,4160,0,4160,0,4160,0,4160,0,4160,0,4160,0,4160,0,4160,0,4160,0,4160,0,4160,0,4160,0,4160,0,4160,0,4160,0,4160,0,4160,0,4160,0,4160,0,4160,0,4160,0,4160,0,4160,0,4160,0,4160,0,4160,0
