"Theme","Topic","Author","Posted","Link","Views_20231201_005346","Replies_20231201_005346","Views_20231201_020746","Replies_20231201_020746","Views_20231201_023921","Replies_20231201_023921","Views_20231201_031916","Replies_20231201_031916","Views_20231201_042145","Replies_20231201_042145","Views_20231201_051725","Replies_20231201_051725","Views_20231201_062257","Replies_20231201_062257","Views_20231201_071849","Replies_20231201_071849","Views_20231201_082203","Replies_20231201_082203","Views_20231201_091936","Replies_20231201_091936","Views_20231201_102008","Replies_20231201_102008","Views_20231201_111813","Replies_20231201_111813","Views_20231201_122638","Replies_20231201_122638","Views_20231201_132250","Replies_20231201_132250","Views_20231201_141813","Replies_20231201_141813","Views_20231201_151759","Replies_20231201_151759","Views_20231201_162045","Replies_20231201_162045","Views_20231201_171814","Replies_20231201_171814","Views_20231201_182041","Replies_20231201_182041","Views_20231201_191541","Replies_20231201_191541","Views_20231201_201756","Replies_20231201_201756","Views_20231201_211712","Replies_20231201_211712","Views_20231201_221856","Replies_20231201_221856","Views_20231201_231711","Replies_20231201_231711","Views_20231202_004924","Replies_20231202_004924","Views_20231202_015421","Replies_20231202_015421","Views_20231202_022644","Replies_20231202_022644","Views_20231202_031844","Replies_20231202_031844","Views_20231202_041848","Replies_20231202_041848","Views_20231202_051633","Replies_20231202_051633","Views_20231202_062042","Replies_20231202_062042","Views_20231202_071704","Replies_20231202_071704","Views_20231202_081839","Replies_20231202_081839","Views_20231202_091832","Replies_20231202_091832","Views_20231202_101840","Replies_20231202_101840","Views_20231202_111535","Replies_20231202_111535","Views_20231202_122316","Replies_20231202_122316","Views_20231202_131859","Replies_20231202_131859","Views_20231202_141859","Replies_20231202_141859","Views_20231202_151810","Replies_20231202_151810","Views_20231202_161812","Replies_20231202_161812","Views_20231202_171732","Replies_20231202_171732","Views_20231202_181923","Replies_20231202_181923","Views_20231202_191704","Replies_20231202_191704","Views_20231202_201744","Replies_20231202_201744","Views_20231202_211731","Replies_20231202_211731","Views_20231202_221656","Replies_20231202_221656","Views_20231202_231754","Replies_20231202_231754","Views_20231203_005048","Replies_20231203_005048","Views_20231203_020413","Replies_20231203_020413","Views_20231203_023343","Replies_20231203_023343","Views_20231203_031734","Replies_20231203_031734","Views_20231203_041859","Replies_20231203_041859","Views_20231203_051735","Replies_20231203_051735","Views_20231203_061948","Replies_20231203_061948","Views_20231203_071655","Replies_20231203_071655","Views_20231203_082103","Replies_20231203_082103","Views_20231203_091852","Replies_20231203_091852","Views_20231203_101651","Replies_20231203_101651","Views_20231203_111631","Replies_20231203_111631","Views_20231203_122349","Replies_20231203_122349","Views_20231203_131743","Replies_20231203_131743","Views_20231203_141642","Replies_20231203_141642","Views_20231203_151724","Replies_20231203_151724","Views_20231203_161907","Replies_20231203_161907","Views_20231203_171648","Replies_20231203_171648","Views_20231203_181818","Replies_20231203_181818","Views_20231203_191734","Replies_20231203_191734","Views_20231203_201920","Replies_20231203_201920","Views_20231203_211754","Replies_20231203_211754","Views_20231203_221828","Replies_20231203_221828","Views_20231203_231703","Replies_20231203_231703","Views_20231204_005054","Replies_20231204_005054","Views_20231204_020142","Replies_20231204_020142"
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3362.aspx",7108,1,7108,1,7108,1,7108,1,7108,1,7108,1,7108,1,7108,1,7108,1,7108,1,7108,1,7108,1,7109,1,7109,1,7109,1,7109,1,7109,1,7109,1,7109,1,7109,1,7109,1,7109,1,7109,1,7109,1,7109,1,7109,1,7109,1,7109,1,7109,1,7109,1,7109,1,7109,1,7109,1,7109,1,7109,1,7109,1,7109,1,7109,1,7109,1,7109,1,7109,1,7110,1,7110,1,7110,1,7110,1,7110,1,7110,1,7110,1,7110,1,7110,1,7110,1,7110,1,7110,1,7110,1,7110,1,7110,1,7110,1,7110,1,7110,1,7110,1,7110,1,7110,1,7110,1,7110,1,7110,1,7110,1,7110,1,7110,1,7110,1,7110,1,7110,1,7110,1,7110,1,7110,1
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3363.aspx",7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1,7143,1
"Adolescent nutrition","Adolescent nutrition indicators: which ones should be included in surveys?","Natasha Lelijveld","2022-06-07","https://www.en-net.org/question/4584.aspx",1194,0,1194,0,1194,0,1194,0,1194,0,1194,0,1194,0,1194,0,1194,0,1194,0,1194,0,1194,0,1194,0,1194,0,1194,0,1194,0,1194,0,1194,0,1194,0,1194,0,1194,0,1194,0,1194,0,1194,0,1194,0,1194,0,1194,0,1194,0,1194,0,1194,0,1194,0,1194,0,1194,0,1194,0,1194,0,1194,0,1194,0,1195,0,1195,0,1195,0,1195,0,1195,0,1195,0,1195,0,1195,0,1195,0,1195,0,1195,0,1195,0,1195,0,1195,0,1195,0,1195,0,1195,0,1195,0,1195,0,1195,0,1195,0,1195,0,1195,0,1195,0,1195,0,1195,0,1195,0,1195,0,1195,0,1195,0,1195,0,1195,0,1195,0,1195,0,1195,0,1195,0,1195,0
"Adolescent nutrition","Adolescent Nutrition Needs during Menstruation Period","Sandra Phiri","2022-11-18","https://www.en-net.org/question/4718.aspx",946,1,946,1,946,1,946,1,946,1,946,1,946,1,946,1,946,1,946,1,946,1,947,1,947,1,947,1,947,1,947,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1,948,1
"Adolescent nutrition","adolescent school age nutrition education","Anonymous 23844","2018-07-04","https://www.en-net.org/question/3373.aspx",6645,1,6645,1,6645,1,6645,1,6645,1,6645,1,6645,1,6645,1,6645,1,6645,1,6646,1,6646,1,6646,1,6646,1,6646,1,6646,1,6646,1,6646,1,6646,1,6646,1,6646,1,6646,1,6646,1,6646,1,6646,1,6646,1,6646,1,6646,1,6646,1,6646,1,6646,1,6646,1,6646,1,6646,1,6647,1,6648,1,6648,1,6648,1,6648,1,6648,1,6648,1,6648,1,6648,1,6648,1,6648,1,6648,1,6648,1,6648,1,6648,1,6648,1,6648,1,6648,1,6648,1,6648,1,6648,1,6648,1,6648,1,6648,1,6648,1,6648,1,6648,1,6648,1,6648,1,6648,1,6648,1,6648,1,6648,1,6648,1,6648,1,6648,1,6648,1,6648,1,6648,1,6648,1
"Adolescent nutrition","Adolescent school age nutrition education","Tamsin","2018-08-01","https://www.en-net.org/question/3403.aspx",6664,3,6664,3,6664,3,6664,3,6664,3,6664,3,6664,3,6664,3,6664,3,6664,3,6664,3,6665,3,6665,3,6666,3,6666,3,6666,3,6666,3,6666,3,6666,3,6666,3,6666,3,6666,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3,6667,3
"Adolescent nutrition","Age group of adolescents","Anonymous 35931","2020-02-15","https://www.en-net.org/question/3853.aspx",5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1,5570,1
"Adolescent nutrition","anthropometry for adolescents?","Emily Mates","2018-06-29","https://www.en-net.org/question/3371.aspx",6911,2,6911,2,6911,2,6911,2,6912,2,6912,2,6912,2,6912,2,6912,2,6912,2,6912,2,6912,2,6913,2,6914,2,6914,2,6914,2,6914,2,6914,2,6914,2,6914,2,6914,2,6914,2,6914,2,6914,2,6915,2,6915,2,6916,2,6916,2,6916,2,6916,2,6916,2,6916,2,6916,2,6916,2,6916,2,6916,2,6917,2,6917,2,6917,2,6917,2,6917,2,6917,2,6917,2,6917,2,6917,2,6917,2,6917,2,6917,2,6917,2,6917,2,6917,2,6917,2,6917,2,6917,2,6917,2,6917,2,6917,2,6917,2,6917,2,6917,2,6917,2,6917,2,6917,2,6917,2,6917,2,6917,2,6917,2,6917,2,6917,2,6917,2,6919,2,6919,2,6919,2,6919,2
"Adolescent nutrition","Assessing nutrition knowledge in adolescents","Ursula Truebswasser","2018-07-25","https://www.en-net.org/question/3391.aspx",6958,3,6958,3,6958,3,6958,3,6958,3,6958,3,6958,3,6958,3,6958,3,6958,3,6958,3,6958,3,6958,3,6958,3,6958,3,6958,3,6958,3,6958,3,6958,3,6959,3,6959,3,6959,3,6959,3,6959,3,6959,3,6959,3,6959,3,6959,3,6959,3,6959,3,6959,3,6959,3,6959,3,6959,3,6959,3,6959,3,6959,3,6959,3,6959,3,6959,3,6959,3,6959,3,6959,3,6959,3,6959,3,6960,3,6960,3,6960,3,6960,3,6960,3,6960,3,6960,3,6960,3,6960,3,6960,3,6960,3,6960,3,6960,3,6960,3,6960,3,6960,3,6960,3,6960,3,6960,3,6960,3,6960,3,6960,3,6960,3,6960,3,6960,3,6960,3,6960,3,6960,3,6960,3
"Adolescent nutrition","Cut off BMI for adolescents up to 19 years old","Anonymous 35931","2021-08-22","https://www.en-net.org/question/4383.aspx",4335,1,4335,1,4335,1,4335,1,4335,1,4335,1,4335,1,4335,1,4335,1,4335,1,4335,1,4335,1,4335,1,4335,1,4335,1,4335,1,4335,1,4335,1,4335,1,4335,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1,4336,1
"Adolescent nutrition","health education intervention among adolescent girls","Anonymous 23844","2018-06-19","https://www.en-net.org/question/3357.aspx",6596,1,6596,1,6596,1,6596,1,6596,1,6596,1,6596,1,6596,1,6596,1,6597,1,6597,1,6597,1,6597,1,6597,1,6597,1,6597,1,6597,1,6597,1,6597,1,6597,1,6597,1,6597,1,6597,1,6597,1,6597,1,6597,1,6597,1,6597,1,6597,1,6597,1,6597,1,6597,1,6597,1,6597,1,6597,1,6597,1,6597,1,6597,1,6597,1,6597,1,6597,1,6597,1,6597,1,6597,1,6597,1,6597,1,6598,1,6598,1,6598,1,6598,1,6598,1,6599,1,6599,1,6599,1,6599,1,6599,1,6599,1,6599,1,6599,1,6599,1,6599,1,6599,1,6599,1,6599,1,6599,1,6599,1,6599,1,6599,1,6599,1,6599,1,6599,1,6599,1,6599,1,6599,1
"Adolescent nutrition","Is dietary diversity score-Women a good score for adolescents?","Anonymous 35931","2023-09-07","https://www.en-net.org/question/4933.aspx",349,1,349,1,349,1,349,1,349,1,349,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,352,1,352,1,352,1,352,1,352,1,352,1,352,1,352,1,352,1,352,1,352,1,353,1,353,1,353,1,353,1,353,1,353,1,353,1,354,1,354,1,354,1,354,1,354,1,354,1,354,1,354,1,354,1,354,1,354,1,354,1,354,1,354,1,354,1,354,1,354,1,354,1,354,1,354,1,354,1,354,1,354,1,354,1,354,1,354,1,354,1,354,1
"Adolescent nutrition","Is there any example of adolescent inclusive nutrition programming in general and in Covid19 situation in particular?  - COVID-19","Aisha Fatima","2020-06-12","https://www.en-net.org/question/4006.aspx",5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1,5895,1
"Adolescent nutrition","Launch of research on adolescent health and nutrition","Jo Lofthouse","2018-05-23","https://www.en-net.org/question/3330.aspx",7035,0,7035,0,7036,0,7036,0,7037,0,7038,0,7038,0,7038,0,7038,0,7038,0,7038,0,7038,0,7038,0,7038,0,7038,0,7038,0,7038,0,7038,0,7038,0,7038,0,7038,0,7038,0,7038,0,7038,0,7038,0,7038,0,7038,0,7038,0,7038,0,7038,0,7038,0,7038,0,7038,0,7038,0,7038,0,7038,0,7038,0,7038,0,7038,0,7039,0,7039,0,7039,0,7039,0,7039,0,7039,0,7039,0,7039,0,7039,0,7039,0,7039,0,7039,0,7039,0,7039,0,7039,0,7039,0,7039,0,7039,0,7039,0,7039,0,7039,0,7039,0,7039,0,7039,0,7039,0,7039,0,7039,0,7039,0,7039,0,7039,0,7039,0,7039,0,7039,0,7039,0,7039,0
"Adolescent nutrition","MUAC tape for adults and adolescents","Ikechukwu Eberendu","2018-09-27","https://www.en-net.org/question/3455.aspx",6890,1,6891,1,6892,1,6892,1,6892,1,6892,1,6892,1,6892,1,6892,1,6892,1,6892,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1,6893,1
