"Theme","Topic","Author","Posted","Link","Views_20220701_023608","Replies_20220701_023608","Views_20220701_042003","Replies_20220701_042003","Views_20220701_053855","Replies_20220701_053855","Views_20220701_063402","Replies_20220701_063402","Views_20220701_072530","Replies_20220701_072530","Views_20220701_083330","Replies_20220701_083330","Views_20220701_092735","Replies_20220701_092735","Views_20220701_102950","Replies_20220701_102950","Views_20220701_112152","Replies_20220701_112152","Views_20220701_125310","Replies_20220701_125310","Views_20220701_134616","Replies_20220701_134616","Views_20220701_142500","Replies_20220701_142500","Views_20220701_152952","Replies_20220701_152952","Views_20220701_164129","Replies_20220701_164129","Views_20220701_172948","Replies_20220701_172948","Views_20220701_183351","Replies_20220701_183351","Views_20220701_192145","Replies_20220701_192145","Views_20220701_202857","Replies_20220701_202857","Views_20220701_212241","Replies_20220701_212241","Views_20220701_222501","Replies_20220701_222501","Views_20220701_232544","Replies_20220701_232544","Views_20220702_022152","Replies_20220702_022152","Views_20220702_040631","Replies_20220702_040631","Views_20220702_052557","Replies_20220702_052557","Views_20220702_063011","Replies_20220702_063011","Views_20220702_072253","Replies_20220702_072253","Views_20220702_083051","Replies_20220702_083051","Views_20220702_092416","Replies_20220702_092416","Views_20220702_102731","Replies_20220702_102731","Views_20220702_112108","Replies_20220702_112108","Views_20220702_124117","Replies_20220702_124117","Views_20220702_133119","Replies_20220702_133119","Views_20220702_142230","Replies_20220702_142230","Views_20220702_152620","Replies_20220702_152620","Views_20220702_163342","Replies_20220702_163342","Views_20220702_172353","Replies_20220702_172353","Views_20220702_182957","Replies_20220702_182957","Views_20220702_192020","Replies_20220702_192020","Views_20220702_202620","Replies_20220702_202620","Views_20220702_212147","Replies_20220702_212147","Views_20220702_222454","Replies_20220702_222454","Views_20220702_232411","Replies_20220702_232411","Views_20220703_022811","Replies_20220703_022811","Views_20220703_035831","Replies_20220703_035831","Views_20220703_043720","Replies_20220703_043720","Views_20220703_052309","Replies_20220703_052309","Views_20220703_063101","Replies_20220703_063101","Views_20220703_072340","Replies_20220703_072340","Views_20220703_082902","Replies_20220703_082902","Views_20220703_092440","Replies_20220703_092440","Views_20220703_102802","Replies_20220703_102802","Views_20220703_112206","Replies_20220703_112206","Views_20220703_124146","Replies_20220703_124146","Views_20220703_133148","Replies_20220703_133148","Views_20220703_142237","Replies_20220703_142237","Views_20220703_152546","Replies_20220703_152546","Views_20220703_163352","Replies_20220703_163352","Views_20220703_172515","Replies_20220703_172515","Views_20220703_182913","Replies_20220703_182913","Views_20220703_192033","Replies_20220703_192033","Views_20220703_202542","Replies_20220703_202542","Views_20220703_212208","Replies_20220703_212208","Views_20220703_222416","Replies_20220703_222416","Views_20220703_232602","Replies_20220703_232602","Views_20220704_023044","Replies_20220704_023044","Views_20220704_041338","Replies_20220704_041338","Views_20220704_053602","Replies_20220704_053602","Views_20220704_063714","Replies_20220704_063714","Views_20220704_072507","Replies_20220704_072507","Views_20220704_083441","Replies_20220704_083441","Views_20220704_092755","Replies_20220704_092755","Views_20220704_103147","Replies_20220704_103147","Views_20220704_112253","Replies_20220704_112253","Views_20220704_130135","Replies_20220704_130135","Views_20220704_134539","Replies_20220704_134539","Views_20220704_142313","Replies_20220704_142313","Views_20220704_152917","Replies_20220704_152917","Views_20220704_163726","Replies_20220704_163726","Views_20220704_172910","Replies_20220704_172910","Views_20220704_183154","Replies_20220704_183154","Views_20220704_192237","Replies_20220704_192237"
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3362.aspx",5940,1,5940,1,5940,1,5940,1,5940,1,5940,1,5942,1,5942,1,5942,1,5942,1,5942,1,5942,1,5942,1,5942,1,5942,1,5942,1,5942,1,5942,1,5942,1,5943,1,5943,1,5943,1,5943,1,5944,1,5944,1,5944,1,5945,1,5945,1,5946,1,5946,1,5946,1,5946,1,5946,1,5946,1,5946,1,5946,1,5946,1,5947,1,5947,1,5947,1,5947,1,5947,1,5947,1,5947,1,5947,1,5947,1,5947,1,5948,1,5948,1,5948,1,5948,1,5948,1,5950,1,5950,1,5950,1,5950,1,5951,1,5951,1,5951,1,5951,1,5951,1,5951,1,5951,1,5952,1,5952,1,5952,1,5952,1,5952,1,5953,1,5953,1,5953,1,5954,1,5954,1,5954,1,5954,1,5954,1,5954,1,5954,1,5954,1,5955,1,5955,1
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3363.aspx",6043,1,6043,1,6043,1,6043,1,6043,1,6043,1,6043,1,6044,1,6044,1,6044,1,6044,1,6044,1,6044,1,6045,1,6045,1,6045,1,6045,1,6045,1,6045,1,6045,1,6046,1,6046,1,6046,1,6046,1,6046,1,6046,1,6046,1,6046,1,6047,1,6047,1,6047,1,6047,1,6047,1,6047,1,6047,1,6047,1,6047,1,6047,1,6047,1,6048,1,6048,1,6048,1,6049,1,6049,1,6049,1,6049,1,6049,1,6049,1,6049,1,6049,1,6049,1,6049,1,6049,1,6049,1,6049,1,6049,1,6049,1,6049,1,6049,1,6049,1,6049,1,6049,1,6049,1,6049,1,6049,1,6049,1,6049,1,6049,1,6049,1,6049,1,6049,1,6049,1,6049,1,6049,1,6050,1,6050,1,6051,1,6051,1,6051,1,6051,1,6051,1
"Adolescent nutrition","Adolescent nutrition indicators: which ones should be included in surveys?","Natasha Lelijveld","2022-06-07","https://www.en-net.org/question/4584.aspx",91,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,93,0,94,0,94,0,94,0,94,0,94,0,94,0,94,0,94,0,94,0,94,0,94,0,94,0,94,0,94,0,94,0,94,0,94,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,96,0,96,0,96,0,96,0,96,0,96,0,97,0,97,0,97,0,97,0,97,0,97,0,97,0,97,0,97,0,97,0,97,0,98,0,98,0,98,0,98,0,98,0
"Adolescent nutrition","adolescent school age nutrition education","Anonymous 23844","2018-07-04","https://www.en-net.org/question/3373.aspx",5610,1,5610,1,5610,1,5610,1,5610,1,5610,1,5610,1,5610,1,5610,1,5610,1,5610,1,5610,1,5610,1,5610,1,5610,1,5610,1,5610,1,5610,1,5610,1,5610,1,5610,1,5610,1,5611,1,5611,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5612,1,5613,1,5613,1,5613,1,5613,1,5613,1
"Adolescent nutrition","Adolescent school age nutrition education","Tamsin Walters","2018-08-01","https://www.en-net.org/question/3403.aspx",5645,3,5645,3,5645,3,5645,3,5645,3,5645,3,5645,3,5645,3,5645,3,5645,3,5645,3,5645,3,5645,3,5645,3,5645,3,5646,3,5646,3,5646,3,5646,3,5646,3,5646,3,5646,3,5647,3,5647,3,5647,3,5647,3,5647,3,5647,3,5647,3,5648,3,5648,3,5648,3,5648,3,5648,3,5648,3,5648,3,5648,3,5648,3,5648,3,5648,3,5648,3,5650,3,5650,3,5650,3,5650,3,5650,3,5650,3,5650,3,5650,3,5650,3,5650,3,5650,3,5650,3,5650,3,5650,3,5650,3,5650,3,5650,3,5650,3,5650,3,5650,3,5650,3,5650,3,5650,3,5650,3,5650,3,5650,3,5650,3,5650,3,5650,3,5650,3,5650,3,5650,3,5650,3,5650,3,5650,3,5650,3,5650,3,5650,3,5650,3,5650,3
"Adolescent nutrition","Age group of adolescents","Anonymous 35931","2020-02-15","https://www.en-net.org/question/3853.aspx",4502,1,4502,1,4502,1,4502,1,4502,1,4502,1,4502,1,4502,1,4502,1,4502,1,4502,1,4502,1,4502,1,4502,1,4504,1,4504,1,4504,1,4504,1,4504,1,4504,1,4504,1,4505,1,4505,1,4505,1,4505,1,4505,1,4505,1,4505,1,4505,1,4505,1,4505,1,4505,1,4505,1,4506,1,4506,1,4506,1,4506,1,4506,1,4506,1,4506,1,4506,1,4506,1,4506,1,4506,1,4506,1,4506,1,4506,1,4506,1,4506,1,4506,1,4506,1,4506,1,4506,1,4506,1,4507,1,4507,1,4507,1,4507,1,4507,1,4507,1,4507,1,4507,1,4507,1,4507,1,4507,1,4507,1,4507,1,4507,1,4507,1,4507,1,4507,1,4507,1,4507,1,4507,1,4509,1,4509,1,4509,1,4509,1,4509,1,4509,1,4509,1
"Adolescent nutrition","anthropometry for adolescents?","Emily Mates","2018-06-29","https://www.en-net.org/question/3371.aspx",5815,2,5815,2,5815,2,5815,2,5815,2,5815,2,5815,2,5815,2,5815,2,5816,2,5816,2,5816,2,5816,2,5817,2,5817,2,5817,2,5817,2,5817,2,5817,2,5817,2,5818,2,5818,2,5818,2,5819,2,5819,2,5819,2,5819,2,5819,2,5819,2,5819,2,5819,2,5819,2,5819,2,5819,2,5819,2,5819,2,5819,2,5819,2,5819,2,5819,2,5819,2,5820,2,5820,2,5820,2,5820,2,5820,2,5820,2,5820,2,5820,2,5820,2,5820,2,5820,2,5820,2,5820,2,5820,2,5820,2,5820,2,5820,2,5820,2,5820,2,5821,2,5821,2,5821,2,5821,2,5821,2,5821,2,5821,2,5821,2,5821,2,5821,2,5821,2,5821,2,5821,2,5821,2,5821,2,5821,2,5821,2,5821,2,5821,2,5821,2,5821,2
"Adolescent nutrition","Assessing nutrition knowledge in adolescents","Ursula Truebswasser","2018-07-25","https://www.en-net.org/question/3391.aspx",5814,3,5814,3,5814,3,5814,3,5814,3,5814,3,5814,3,5814,3,5814,3,5814,3,5814,3,5814,3,5814,3,5814,3,5814,3,5814,3,5814,3,5814,3,5814,3,5814,3,5814,3,5815,3,5815,3,5815,3,5815,3,5815,3,5815,3,5815,3,5815,3,5816,3,5816,3,5816,3,5816,3,5816,3,5816,3,5816,3,5816,3,5816,3,5817,3,5817,3,5817,3,5817,3,5817,3,5817,3,5817,3,5817,3,5817,3,5817,3,5817,3,5817,3,5817,3,5817,3,5818,3,5820,3,5820,3,5820,3,5820,3,5820,3,5820,3,5820,3,5820,3,5820,3,5820,3,5820,3,5820,3,5820,3,5820,3,5820,3,5820,3,5820,3,5820,3,5820,3,5820,3,5820,3,5820,3,5820,3,5820,3,5820,3,5820,3,5820,3,5820,3
"Adolescent nutrition","Cut off BMI for adolescents up to 19 years old","Anonymous 35931","2021-08-22","https://www.en-net.org/question/4383.aspx",3269,1,3269,1,3269,1,3269,1,3269,1,3269,1,3269,1,3269,1,3269,1,3269,1,3269,1,3269,1,3269,1,3269,1,3269,1,3269,1,3269,1,3269,1,3269,1,3269,1,3269,1,3269,1,3269,1,3269,1,3269,1,3269,1,3269,1,3269,1,3269,1,3269,1,3269,1,3269,1,3269,1,3269,1,3269,1,3269,1,3269,1,3269,1,3270,1,3270,1,3270,1,3270,1,3270,1,3270,1,3270,1,3270,1,3270,1,3270,1,3270,1,3270,1,3270,1,3270,1,3270,1,3270,1,3270,1,3270,1,3270,1,3270,1,3270,1,3270,1,3270,1,3270,1,3270,1,3270,1,3270,1,3270,1,3270,1,3271,1,3271,1,3271,1,3271,1,3271,1,3271,1,3271,1,3271,1,3271,1,3271,1,3271,1,3271,1,3271,1,3271,1
"Adolescent nutrition","health education intervention among adolescent girls","Anonymous 23844","2018-06-19","https://www.en-net.org/question/3357.aspx",5464,1,5464,1,5464,1,5464,1,5464,1,5464,1,5464,1,5464,1,5464,1,5464,1,5464,1,5464,1,5464,1,5464,1,5464,1,5464,1,5464,1,5464,1,5464,1,5464,1,5464,1,5464,1,5464,1,5464,1,5464,1,5464,1,5464,1,5464,1,5464,1,5464,1,5464,1,5464,1,5464,1,5464,1,5465,1,5465,1,5465,1,5465,1,5465,1,5465,1,5465,1,5465,1,5465,1,5465,1,5465,1,5465,1,5465,1,5465,1,5465,1,5465,1,5465,1,5465,1,5465,1,5465,1,5465,1,5465,1,5465,1,5465,1,5465,1,5465,1,5465,1,5465,1,5465,1,5465,1,5465,1,5466,1,5466,1,5466,1,5466,1,5466,1,5466,1,5466,1,5466,1,5466,1,5466,1,5466,1,5466,1,5466,1,5466,1,5466,1,5466,1
"Adolescent nutrition","Is there any example of adolescent inclusive nutrition programming in general and in Covid19 situation in particular?  - COVID-19","Aisha Fatima","2020-06-12","https://www.en-net.org/question/4006.aspx",4766,1,4766,1,4766,1,4766,1,4766,1,4766,1,4766,1,4766,1,4766,1,4767,1,4767,1,4767,1,4767,1,4767,1,4767,1,4767,1,4767,1,4767,1,4767,1,4767,1,4767,1,4767,1,4767,1,4768,1,4768,1,4768,1,4768,1,4768,1,4768,1,4768,1,4768,1,4768,1,4768,1,4768,1,4769,1,4769,1,4769,1,4769,1,4769,1,4769,1,4769,1,4769,1,4769,1,4769,1,4769,1,4769,1,4769,1,4769,1,4769,1,4769,1,4769,1,4769,1,4770,1,4770,1,4770,1,4770,1,4770,1,4770,1,4770,1,4770,1,4770,1,4770,1,4770,1,4770,1,4770,1,4770,1,4770,1,4770,1,4770,1,4770,1,4770,1,4770,1,4770,1,4770,1,4770,1,4770,1,4770,1,4770,1,4770,1,4770,1,4770,1
"Adolescent nutrition","Launch of research on adolescent health and nutrition","Jo Lofthouse","2018-05-23","https://www.en-net.org/question/3330.aspx",5911,0,5912,0,5912,0,5912,0,5912,0,5912,0,5912,0,5912,0,5912,0,5913,0,5916,0,5916,0,5916,0,5916,0,5916,0,5916,0,5916,0,5916,0,5916,0,5916,0,5916,0,5916,0,5916,0,5917,0,5918,0,5918,0,5918,0,5918,0,5918,0,5918,0,5918,0,5918,0,5918,0,5918,0,5918,0,5918,0,5918,0,5918,0,5918,0,5918,0,5919,0,5919,0,5920,0,5920,0,5920,0,5920,0,5920,0,5920,0,5920,0,5920,0,5920,0,5921,0,5922,0,5922,0,5922,0,5922,0,5922,0,5922,0,5922,0,5922,0,5922,0,5922,0,5922,0,5922,0,5922,0,5922,0,5922,0,5922,0,5923,0,5923,0,5923,0,5923,0,5923,0,5923,0,5923,0,5923,0,5923,0,5923,0,5923,0,5923,0,5923,0
"Adolescent nutrition","MUAC tape for adults and adolescents","Ikechukwu Eberendu","2018-09-27","https://www.en-net.org/question/3455.aspx",5786,1,5786,1,5786,1,5786,1,5786,1,5786,1,5786,1,5786,1,5786,1,5786,1,5786,1,5786,1,5786,1,5786,1,5786,1,5787,1,5787,1,5787,1,5787,1,5787,1,5787,1,5787,1,5787,1,5787,1,5787,1,5787,1,5787,1,5787,1,5788,1,5788,1,5788,1,5788,1,5788,1,5788,1,5788,1,5788,1,5788,1,5788,1,5788,1,5788,1,5788,1,5788,1,5788,1,5788,1,5788,1,5788,1,5788,1,5788,1,5788,1,5788,1,5788,1,5788,1,5788,1,5788,1,5789,1,5789,1,5789,1,5789,1,5789,1,5789,1,5790,1,5790,1,5790,1,5790,1,5790,1,5790,1,5790,1,5790,1,5790,1,5790,1,5790,1,5790,1,5790,1,5790,1,5790,1,5790,1,5790,1,5790,1,5790,1,5790,1,5790,1
"Adolescent nutrition","Question arising from the ENN webinar:","Stephanie Wrottesley","2021-03-03","https://www.en-net.org/question/4226.aspx",3568,1,3568,1,3568,1,3568,1,3568,1,3568,1,3568,1,3568,1,3568,1,3568,1,3568,1,3568,1,3568,1,3568,1,3568,1,3568,1,3568,1,3568,1,3568,1,3568,1,3568,1,3568,1,3568,1,3568,1,3568,1,3568,1,3568,1,3568,1,3569,1,3570,1,3570,1,3570,1,3570,1,3570,1,3570,1,3570,1,3570,1,3570,1,3572,1,3572,1,3572,1,3572,1,3572,1,3572,1,3572,1,3572,1,3572,1,3572,1,3572,1,3572,1,3572,1,3572,1,3572,1,3572,1,3572,1,3572,1,3572,1,3572,1,3572,1,3572,1,3572,1,3572,1,3572,1,3572,1,3572,1,3572,1,3572,1,3572,1,3572,1,3572,1,3572,1,3572,1,3572,1,3572,1,3572,1,3572,1,3572,1,3572,1,3572,1,3572,1,3572,1
"Adolescent nutrition","Reaching out of school adolescents","Emily Mates","2018-06-18","https://www.en-net.org/question/3355.aspx",6285,3,6285,3,6285,3,6285,3,6285,3,6285,3,6285,3,6285,3,6285,3,6285,3,6285,3,6285,3,6285,3,6285,3,6285,3,6285,3,6285,3,6285,3,6285,3,6285,3,6286,3,6286,3,6287,3,6288,3,6288,3,6288,3,6288,3,6288,3,6288,3,6288,3,6288,3,6288,3,6288,3,6288,3,6288,3,6288,3,6288,3,6288,3,6289,3,6289,3,6289,3,6289,3,6290,3,6290,3,6290,3,6290,3,6290,3,6290,3,6290,3,6290,3,6290,3,6290,3,6290,3,6290,3,6290,3,6290,3,6290,3,6290,3,6290,3,6290,3,6290,3,6290,3,6290,3,6290,3,6290,3,6290,3,6290,3,6290,3,6290,3,6290,3,6290,3,6290,3,6290,3,6290,3,6290,3,6290,3,6290,3,6290,3,6290,3,6290,3,6290,3
"Adolescent nutrition","Research prioritisation exercise for nutrition of school-aged children and adolescents using the CHNRI methodology.","Tamsin Walters","2021-07-20","https://www.en-net.org/question/4358.aspx",3832,0,3832,0,3832,0,3832,0,3832,0,3832,0,3832,0,3832,0,3832,0,3833,0,3833,0,3833,0,3833,0,3833,0,3833,0,3834,0,3834,0,3834,0,3834,0,3834,0,3834,0,3834,0,3834,0,3834,0,3834,0,3834,0,3834,0,3834,0,3834,0,3834,0,3834,0,3834,0,3834,0,3834,0,3834,0,3834,0,3834,0,3834,0,3835,0,3836,0,3836,0,3836,0,3836,0,3836,0,3836,0,3836,0,3836,0,3836,0,3836,0,3836,0,3836,0,3836,0,3836,0,3836,0,3836,0,3836,0,3836,0,3836,0,3836,0,3836,0,3836,0,3836,0,3836,0,3836,0,3836,0,3836,0,3836,0,3836,0,3836,0,3836,0,3836,0,3836,0,3836,0,3836,0,3836,0,3836,0,3836,0,3836,0,3836,0,3836,0,3836,0
"Adolescent nutrition","Teen/adolescent pregnancy and under-nutrition","Anne Holmes","2018-06-19","https://www.en-net.org/question/3358.aspx",5849,1,5849,1,5849,1,5849,1,5849,1,5849,1,5849,1,5849,1,5849,1,5849,1,5849,1,5849,1,5849,1,5849,1,5849,1,5849,1,5849,1,5849,1,5850,1,5850,1,5850,1,5850,1,5851,1,5851,1,5851,1,5851,1,5851,1,5851,1,5851,1,5851,1,5851,1,5851,1,5851,1,5851,1,5851,1,5851,1,5851,1,5851,1,5851,1,5851,1,5851,1,5851,1,5852,1,5853,1,5853,1,5853,1,5853,1,5854,1,5854,1,5854,1,5854,1,5854,1,5854,1,5854,1,5854,1,5854,1,5854,1,5854,1,5854,1,5854,1,5854,1,5854,1,5855,1,5855,1,5855,1,5855,1,5855,1,5855,1,5855,1,5855,1,5855,1,5855,1,5855,1,5855,1,5855,1,5855,1,5855,1,5855,1,5855,1,5855,1,5855,1
"Adolescent nutrition","The Effect of Unplanned Pregnancy among Women Collage in Wadajir Distract Moqdisho Somalia","Mohamed Hassan Mohamed [ta'shir]","2021-02-01","https://www.en-net.org/question/4190.aspx",3743,0,3743,0,3743,0,3743,0,3743,0,3743,0,3743,0,3743,0,3743,0,3743,0,3743,0,3743,0,3743,0,3743,0,3743,0,3743,0,3743,0,3743,0,3744,0,3744,0,3744,0,3745,0,3745,0,3745,0,3745,0,3745,0,3745,0,3745,0,3745,0,3745,0,3745,0,3745,0,3745,0,3745,0,3745,0,3745,0,3745,0,3745,0,3745,0,3745,0,3745,0,3745,0,3745,0,3745,0,3745,0,3745,0,3745,0,3745,0,3745,0,3745,0,3745,0,3745,0,3745,0,3746,0,3746,0,3746,0,3746,0,3746,0,3746,0,3746,0,3746,0,3746,0,3746,0,3746,0,3746,0,3746,0,3746,0,3746,0,3746,0,3746,0,3746,0,3746,0,3746,0,3746,0,3746,0,3746,0,3746,0,3746,0,3746,0,3746,0,3746,0
