"Theme","Topic","Author","Posted","Link","Views_20230701_010611","Replies_20230701_010611","Views_20230701_024729","Replies_20230701_024729","Views_20230701_033540","Replies_20230701_033540","Views_20230701_041753","Replies_20230701_041753","Views_20230701_051518","Replies_20230701_051518","Views_20230701_061821","Replies_20230701_061821","Views_20230701_071501","Replies_20230701_071501","Views_20230701_081738","Replies_20230701_081738","Views_20230701_091519","Replies_20230701_091519","Views_20230701_101647","Replies_20230701_101647","Views_20230701_111447","Replies_20230701_111447","Views_20230701_122245","Replies_20230701_122245","Views_20230701_132120","Replies_20230701_132120","Views_20230701_141441","Replies_20230701_141441","Views_20230701_151506","Replies_20230701_151506","Views_20230701_161739","Replies_20230701_161739","Views_20230701_171510","Replies_20230701_171510","Views_20230701_181756","Replies_20230701_181756","Views_20230701_191427","Replies_20230701_191427","Views_20230701_201548","Replies_20230701_201548","Views_20230701_211422","Replies_20230701_211422","Views_20230701_221511","Replies_20230701_221511","Views_20230701_231557","Replies_20230701_231557","Views_20230702_010331","Replies_20230702_010331","Views_20230702_024324","Replies_20230702_024324","Views_20230702_033039","Replies_20230702_033039","Views_20230702_041747","Replies_20230702_041747","Views_20230702_051634","Replies_20230702_051634","Views_20230702_061837","Replies_20230702_061837","Views_20230702_071514","Replies_20230702_071514","Views_20230702_081847","Replies_20230702_081847","Views_20230702_091521","Replies_20230702_091521","Views_20230702_101635","Replies_20230702_101635","Views_20230702_111542","Replies_20230702_111542","Views_20230702_122431","Replies_20230702_122431","Views_20230702_132007","Replies_20230702_132007","Views_20230702_141506","Replies_20230702_141506","Views_20230702_151518","Replies_20230702_151518","Views_20230702_161819","Replies_20230702_161819","Views_20230702_171455","Replies_20230702_171455","Views_20230702_181716","Replies_20230702_181716","Views_20230702_191434","Replies_20230702_191434","Views_20230702_201554","Replies_20230702_201554","Views_20230702_211431","Replies_20230702_211431","Views_20230702_221545","Replies_20230702_221545","Views_20230702_231528","Replies_20230702_231528","Views_20230703_010121","Replies_20230703_010121","Views_20230703_023259","Replies_20230703_023259","Views_20230703_032724","Replies_20230703_032724","Views_20230703_041816","Replies_20230703_041816","Views_20230703_051609","Replies_20230703_051609","Views_20230703_062017","Replies_20230703_062017","Views_20230703_071605","Replies_20230703_071605","Views_20230703_082015","Replies_20230703_082015","Views_20230703_091800","Replies_20230703_091800","Views_20230703_101756","Replies_20230703_101756","Views_20230703_111519","Replies_20230703_111519","Views_20230703_122747","Replies_20230703_122747","Views_20230703_132813","Replies_20230703_132813","Views_20230703_141532","Replies_20230703_141532","Views_20230703_151649","Replies_20230703_151649","Views_20230703_161850","Replies_20230703_161850"
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3362.aspx",6790,1,6790,1,6790,1,6790,1,6790,1,6790,1,6790,1,6790,1,6791,1,6791,1,6791,1,6791,1,6791,1,6791,1,6791,1,6791,1,6791,1,6791,1,6791,1,6791,1,6791,1,6791,1,6791,1,6791,1,6791,1,6791,1,6791,1,6791,1,6791,1,6791,1,6791,1,6791,1,6791,1,6791,1,6791,1,6791,1,6792,1,6792,1,6792,1,6793,1,6793,1,6793,1,6793,1,6793,1,6793,1,6793,1,6793,1,6793,1,6793,1,6793,1,6795,1,6795,1,6795,1,6795,1,6796,1,6796,1,6796,1,6796,1,6796,1,6797,1,6797,1,6797,1
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3363.aspx",6819,1,6819,1,6819,1,6820,1,6820,1,6820,1,6820,1,6820,1,6820,1,6820,1,6820,1,6820,1,6820,1,6820,1,6820,1,6820,1,6820,1,6820,1,6820,1,6820,1,6820,1,6820,1,6821,1,6821,1,6821,1,6821,1,6821,1,6821,1,6821,1,6821,1,6821,1,6821,1,6822,1,6822,1,6822,1,6822,1,6822,1,6822,1,6822,1,6822,1,6822,1,6822,1,6822,1,6822,1,6822,1,6822,1,6824,1,6824,1,6824,1,6824,1,6826,1,6826,1,6826,1,6826,1,6826,1,6826,1,6826,1,6826,1,6826,1,6827,1,6827,1,6827,1
"Adolescent nutrition","Adolescent nutrition indicators: which ones should be included in surveys?","Natasha Lelijveld","2022-06-07","https://www.en-net.org/question/4584.aspx",831,0,831,0,831,0,831,0,831,0,831,0,831,0,831,0,831,0,831,0,831,0,831,0,831,0,831,0,831,0,831,0,831,0,832,0,832,0,832,0,832,0,832,0,832,0,832,0,832,0,832,0,832,0,832,0,832,0,832,0,832,0,832,0,832,0,832,0,832,0,832,0,832,0,832,0,832,0,832,0,832,0,832,0,832,0,832,0,832,0,832,0,832,0,832,0,832,0,832,0,832,0,832,0,832,0,832,0,832,0,833,0,833,0,833,0,833,0,833,0,834,0,834,0
"Adolescent nutrition","Adolescent Nutrition Needs during Menstruation Period","Sandra Phiri","2022-11-18","https://www.en-net.org/question/4718.aspx",615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,615,1,616,1,616,1,616,1,616,1,616,1,616,1,616,1,616,1,617,1,617,1
"Adolescent nutrition","adolescent school age nutrition education","Anonymous 23844","2018-07-04","https://www.en-net.org/question/3373.aspx",6333,1,6333,1,6333,1,6333,1,6334,1,6334,1,6334,1,6334,1,6334,1,6334,1,6334,1,6334,1,6334,1,6334,1,6334,1,6334,1,6334,1,6334,1,6334,1,6334,1,6334,1,6334,1,6334,1,6335,1,6335,1,6335,1,6335,1,6335,1,6335,1,6335,1,6335,1,6335,1,6335,1,6335,1,6335,1,6335,1,6335,1,6335,1,6335,1,6335,1,6335,1,6335,1,6335,1,6335,1,6335,1,6335,1,6337,1,6337,1,6337,1,6337,1,6339,1,6339,1,6339,1,6339,1,6339,1,6339,1,6339,1,6339,1,6339,1,6340,1,6340,1,6340,1
"Adolescent nutrition","Adolescent school age nutrition education","Tamsin","2018-08-01","https://www.en-net.org/question/3403.aspx",6363,3,6363,3,6363,3,6363,3,6363,3,6363,3,6363,3,6363,3,6363,3,6363,3,6363,3,6363,3,6363,3,6363,3,6363,3,6363,3,6363,3,6363,3,6363,3,6363,3,6363,3,6363,3,6363,3,6364,3,6364,3,6364,3,6364,3,6364,3,6364,3,6364,3,6364,3,6364,3,6364,3,6364,3,6364,3,6364,3,6364,3,6364,3,6364,3,6364,3,6365,3,6365,3,6365,3,6365,3,6365,3,6365,3,6365,3,6366,3,6366,3,6366,3,6366,3,6366,3,6366,3,6366,3,6366,3,6366,3,6366,3,6366,3,6366,3,6367,3,6367,3,6367,3
"Adolescent nutrition","Age group of adolescents","Anonymous 35931","2020-02-15","https://www.en-net.org/question/3853.aspx",5251,1,5251,1,5251,1,5251,1,5251,1,5252,1,5252,1,5252,1,5252,1,5252,1,5252,1,5252,1,5252,1,5252,1,5252,1,5252,1,5253,1,5253,1,5253,1,5253,1,5253,1,5253,1,5253,1,5253,1,5253,1,5253,1,5253,1,5253,1,5253,1,5253,1,5253,1,5253,1,5253,1,5253,1,5253,1,5253,1,5253,1,5253,1,5253,1,5253,1,5253,1,5255,1,5255,1,5255,1,5257,1,5257,1,5257,1,5257,1,5257,1,5257,1,5257,1,5257,1,5257,1,5257,1,5257,1,5257,1,5257,1,5257,1,5257,1,5258,1,5258,1,5258,1
"Adolescent nutrition","anthropometry for adolescents?","Emily Mates","2018-06-29","https://www.en-net.org/question/3371.aspx",6603,2,6603,2,6603,2,6603,2,6603,2,6603,2,6603,2,6603,2,6603,2,6603,2,6603,2,6603,2,6603,2,6603,2,6603,2,6603,2,6603,2,6603,2,6603,2,6603,2,6603,2,6603,2,6603,2,6603,2,6603,2,6603,2,6603,2,6603,2,6603,2,6603,2,6603,2,6603,2,6603,2,6603,2,6603,2,6603,2,6603,2,6603,2,6603,2,6604,2,6606,2,6606,2,6606,2,6606,2,6606,2,6606,2,6606,2,6606,2,6606,2,6606,2,6608,2,6608,2,6608,2,6608,2,6608,2,6608,2,6608,2,6608,2,6608,2,6609,2,6609,2,6609,2
"Adolescent nutrition","Assessing nutrition knowledge in adolescents","Ursula Truebswasser","2018-07-25","https://www.en-net.org/question/3391.aspx",6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6644,3,6645,3,6645,3,6646,3,6646,3,6646,3
"Adolescent nutrition","Cut off BMI for adolescents up to 19 years old","Anonymous 35931","2021-08-22","https://www.en-net.org/question/4383.aspx",3990,1,3990,1,3990,1,3990,1,3990,1,3990,1,3990,1,3990,1,3990,1,3990,1,3990,1,3990,1,3990,1,3990,1,3990,1,3990,1,3990,1,3990,1,3990,1,3990,1,3990,1,3990,1,3990,1,3990,1,3990,1,3990,1,3990,1,3990,1,3990,1,3990,1,3990,1,3990,1,3990,1,3990,1,3990,1,3990,1,3990,1,3990,1,3990,1,3990,1,3990,1,3992,1,3992,1,3992,1,3992,1,3992,1,3992,1,3992,1,3992,1,3992,1,3992,1,3992,1,3992,1,3992,1,3992,1,3992,1,3992,1,3992,1,3992,1,3992,1,3993,1,3993,1
