"Theme","Topic","Author","Posted","Link","Views_20230301_005654","Replies_20230301_005654","Views_20230301_023313","Replies_20230301_023313","Views_20230301_032819","Replies_20230301_032819","Views_20230301_041552","Replies_20230301_041552","Views_20230301_051329","Replies_20230301_051329","Views_20230301_061731","Replies_20230301_061731","Views_20230301_071344","Replies_20230301_071344","Views_20230301_081711","Replies_20230301_081711","Views_20230301_091458","Replies_20230301_091458","Views_20230301_101525","Replies_20230301_101525","Views_20230301_111252","Replies_20230301_111252","Views_20230301_122239","Replies_20230301_122239","Views_20230301_132453","Replies_20230301_132453","Views_20230301_141324","Replies_20230301_141324","Views_20230301_151424","Replies_20230301_151424","Views_20230301_161707","Replies_20230301_161707","Views_20230301_171332","Replies_20230301_171332","Views_20230301_181607","Replies_20230301_181607","Views_20230301_191217","Replies_20230301_191217","Views_20230301_201509","Replies_20230301_201509","Views_20230301_211303","Replies_20230301_211303","Views_20230301_221303","Replies_20230301_221303","Views_20230301_231429","Replies_20230301_231429","Views_20230302_005646","Replies_20230302_005646","Views_20230302_022810","Replies_20230302_022810","Views_20230302_032318","Replies_20230302_032318","Views_20230302_041601","Replies_20230302_041601","Views_20230302_051332","Replies_20230302_051332","Views_20230302_061643","Replies_20230302_061643","Views_20230302_071331","Replies_20230302_071331","Views_20230302_081701","Replies_20230302_081701","Views_20230302_091422","Replies_20230302_091422","Views_20230302_101516","Replies_20230302_101516","Views_20230302_111236","Replies_20230302_111236","Views_20230302_122106","Replies_20230302_122106","Views_20230302_132401","Replies_20230302_132401","Views_20230302_141342","Replies_20230302_141342","Views_20230302_151456","Replies_20230302_151456","Views_20230302_161657","Replies_20230302_161657","Views_20230302_171329","Replies_20230302_171329","Views_20230302_181652","Replies_20230302_181652","Views_20230302_191226","Replies_20230302_191226","Views_20230302_201448","Replies_20230302_201448","Views_20230302_211338","Replies_20230302_211338","Views_20230302_221257","Replies_20230302_221257","Views_20230302_231439","Replies_20230302_231439","Views_20230303_024309","Replies_20230303_024309","Views_20230303_042946","Replies_20230303_042946","Views_20230303_051831","Replies_20230303_051831","Views_20230303_061634","Replies_20230303_061634","Views_20230303_071323","Replies_20230303_071323","Views_20230303_081630","Replies_20230303_081630","Views_20230303_091411","Replies_20230303_091411","Views_20230303_101438","Replies_20230303_101438","Views_20230303_111206","Replies_20230303_111206","Views_20230303_122105","Replies_20230303_122105","Views_20230303_132234","Replies_20230303_132234","Views_20230303_141327","Replies_20230303_141327","Views_20230303_151412","Replies_20230303_151412","Views_20230303_161616","Replies_20230303_161616","Views_20230303_171255","Replies_20230303_171255","Views_20230303_181604","Replies_20230303_181604","Views_20230303_191216","Replies_20230303_191216","Views_20230303_201438","Replies_20230303_201438","Views_20230303_211135","Replies_20230303_211135","Views_20230303_221329","Replies_20230303_221329","Views_20230303_231355","Replies_20230303_231355","Views_20230304_004847","Replies_20230304_004847","Views_20230304_021856","Replies_20230304_021856","Views_20230304_031517","Replies_20230304_031517","Views_20230304_041524","Replies_20230304_041524","Views_20230304_051325","Replies_20230304_051325","Views_20230304_061524","Replies_20230304_061524","Views_20230304_071259","Replies_20230304_071259","Views_20230304_081553","Replies_20230304_081553","Views_20230304_091307","Replies_20230304_091307","Views_20230304_101322","Replies_20230304_101322","Views_20230304_111220","Replies_20230304_111220","Views_20230304_121940","Replies_20230304_121940","Views_20230304_131846","Replies_20230304_131846","Views_20230304_141244","Replies_20230304_141244","Views_20230304_151241","Replies_20230304_151241","Views_20230304_161456","Replies_20230304_161456","Views_20230304_171140","Replies_20230304_171140","Views_20230304_181455","Replies_20230304_181455","Views_20230304_191137","Replies_20230304_191137","Views_20230304_201325","Replies_20230304_201325"
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3362.aspx",6576,1,6576,1,6576,1,6576,1,6576,1,6576,1,6576,1,6577,1,6577,1,6577,1,6577,1,6577,1,6577,1,6577,1,6577,1,6577,1,6577,1,6577,1,6577,1,6577,1,6577,1,6577,1,6577,1,6577,1,6577,1,6577,1,6577,1,6577,1,6577,1,6577,1,6577,1,6578,1,6578,1,6578,1,6578,1,6578,1,6578,1,6578,1,6578,1,6578,1,6579,1,6579,1,6579,1,6579,1,6579,1,6579,1,6579,1,6579,1,6579,1,6579,1,6579,1,6579,1,6579,1,6579,1,6579,1,6579,1,6579,1,6579,1,6579,1,6579,1,6579,1,6579,1,6579,1,6579,1,6579,1,6579,1,6579,1,6579,1,6579,1,6579,1,6579,1,6579,1,6579,1,6579,1,6579,1,6579,1,6580,1,6580,1,6580,1,6580,1,6580,1,6580,1,6580,1,6580,1,6581,1,6581,1,6581,1
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3363.aspx",6618,1,6618,1,6618,1,6618,1,6618,1,6618,1,6618,1,6618,1,6618,1,6618,1,6619,1,6619,1,6619,1,6619,1,6619,1,6619,1,6619,1,6619,1,6619,1,6619,1,6619,1,6619,1,6619,1,6619,1,6619,1,6619,1,6619,1,6619,1,6619,1,6619,1,6619,1,6619,1,6619,1,6621,1,6621,1,6621,1,6621,1,6621,1,6622,1,6622,1,6623,1,6623,1,6623,1,6623,1,6623,1,6623,1,6623,1,6623,1,6623,1,6623,1,6623,1,6623,1,6623,1,6623,1,6623,1,6623,1,6623,1,6623,1,6623,1,6623,1,6623,1,6623,1,6623,1,6624,1,6624,1,6624,1,6624,1,6624,1,6624,1,6624,1,6624,1,6624,1,6624,1,6624,1,6624,1,6624,1,6625,1,6625,1,6625,1,6625,1,6625,1,6625,1,6625,1,6625,1,6626,1,6626,1,6626,1
"Adolescent nutrition","Adolescent nutrition indicators: which ones should be included in surveys?","Natasha Lelijveld","2022-06-07","https://www.en-net.org/question/4584.aspx",630,0,630,0,630,0,630,0,630,0,630,0,630,0,630,0,630,0,630,0,630,0,630,0,630,0,630,0,630,0,630,0,630,0,630,0,630,0,630,0,630,0,630,0,630,0,630,0,630,0,630,0,630,0,630,0,630,0,631,0,631,0,631,0,631,0,631,0,631,0,631,0,631,0,631,0,631,0,631,0,631,0,631,0,631,0,631,0,631,0,631,0,631,0,631,0,631,0,631,0,631,0,631,0,631,0,631,0,632,0,632,0,633,0,633,0,633,0,633,0,633,0,633,0,633,0,633,0,633,0,633,0,633,0,633,0,633,0,633,0,633,0,633,0,633,0,633,0,633,0,633,0,635,0,635,0,636,0,636,0,636,0,636,0,636,0,636,0,636,0,636,0,637,0
"Adolescent nutrition","Adolescent Nutrition Needs during Menstruation Period","Sandra Phiri","2022-11-18","https://www.en-net.org/question/4718.aspx",387,1,387,1,387,1,387,1,387,1,387,1,387,1,387,1,387,1,387,1,387,1,387,1,388,1,388,1,388,1,388,1,388,1,388,1,388,1,388,1,388,1,389,1,389,1,389,1,389,1,389,1,389,1,389,1,390,1,391,1,391,1,391,1,391,1,391,1,391,1,392,1,392,1,392,1,392,1,392,1,392,1,392,1,392,1,392,1,392,1,392,1,392,1,392,1,392,1,393,1,393,1,393,1,393,1,393,1,394,1,394,1,394,1,394,1,394,1,394,1,394,1,394,1,395,1,395,1,395,1,395,1,395,1,396,1,396,1,396,1,396,1,396,1,396,1,396,1,396,1,396,1,398,1,398,1,398,1,398,1,398,1,398,1,398,1,398,1,398,1,398,1,399,1
"Adolescent nutrition","adolescent school age nutrition education","Anonymous 23844","2018-07-04","https://www.en-net.org/question/3373.aspx",6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6137,1,6138,1,6138,1,6138,1,6138,1,6138,1,6138,1,6138,1,6138,1,6139,1,6139,1,6139,1
"Adolescent nutrition","Adolescent school age nutrition education","Tamsin","2018-08-01","https://www.en-net.org/question/3403.aspx",6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6166,3,6167,3,6167,3,6168,3,6168,3,6168,3,6169,3,6169,3,6169,3,6172,3,6173,3,6173,3
"Adolescent nutrition","Age group of adolescents","Anonymous 35931","2020-02-15","https://www.en-net.org/question/3853.aspx",5038,1,5038,1,5038,1,5038,1,5038,1,5038,1,5038,1,5038,1,5038,1,5038,1,5038,1,5038,1,5038,1,5038,1,5038,1,5038,1,5038,1,5038,1,5038,1,5038,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5039,1,5041,1,5041,1,5041,1,5041,1,5041,1,5041,1,5041,1,5041,1,5041,1,5042,1,5042,1
"Adolescent nutrition","anthropometry for adolescents?","Emily Mates","2018-06-29","https://www.en-net.org/question/3371.aspx",6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6397,2,6398,2,6398,2,6398,2,6398,2,6398,2,6398,2,6398,2,6398,2,6400,2,6400,2,6400,2,6400,2,6400,2,6400,2,6400,2,6400,2,6401,2,6401,2,6401,2
"Adolescent nutrition","Assessing nutrition knowledge in adolescents","Ursula Truebswasser","2018-07-25","https://www.en-net.org/question/3391.aspx",6435,3,6435,3,6435,3,6435,3,6435,3,6435,3,6435,3,6435,3,6435,3,6435,3,6435,3,6435,3,6435,3,6435,3,6435,3,6435,3,6436,3,6436,3,6436,3,6436,3,6436,3,6436,3,6436,3,6436,3,6436,3,6436,3,6436,3,6436,3,6436,3,6436,3,6436,3,6436,3,6436,3,6436,3,6436,3,6436,3,6436,3,6436,3,6436,3,6436,3,6436,3,6436,3,6436,3,6436,3,6436,3,6436,3,6436,3,6436,3,6436,3,6436,3,6436,3,6437,3,6437,3,6437,3,6437,3,6438,3,6438,3,6438,3,6438,3,6438,3,6438,3,6438,3,6438,3,6438,3,6438,3,6438,3,6438,3,6438,3,6438,3,6438,3,6438,3,6438,3,6438,3,6438,3,6438,3,6438,3,6439,3,6439,3,6439,3,6439,3,6439,3,6439,3,6439,3,6439,3,6440,3,6440,3,6440,3
"Adolescent nutrition","Cut off BMI for adolescents up to 19 years old","Anonymous 35931","2021-08-22","https://www.en-net.org/question/4383.aspx",3797,1,3797,1,3797,1,3797,1,3797,1,3797,1,3797,1,3797,1,3797,1,3797,1,3797,1,3797,1,3797,1,3797,1,3797,1,3797,1,3798,1,3798,1,3798,1,3798,1,3798,1,3798,1,3798,1,3798,1,3798,1,3798,1,3798,1,3798,1,3798,1,3798,1,3798,1,3798,1,3798,1,3798,1,3798,1,3798,1,3798,1,3798,1,3798,1,3798,1,3798,1,3798,1,3798,1,3798,1,3798,1,3798,1,3798,1,3798,1,3798,1,3798,1,3798,1,3798,1,3798,1,3798,1,3799,1,3799,1,3799,1,3799,1,3799,1,3799,1,3799,1,3799,1,3799,1,3799,1,3799,1,3800,1,3800,1,3800,1,3800,1,3800,1,3800,1,3800,1,3800,1,3800,1,3800,1,3800,1,3802,1,3802,1,3802,1,3802,1,3802,1,3802,1,3802,1,3802,1,3802,1,3803,1,3803,1
