"Theme","Topic","Author","Posted","Link","Views_20240301_005421","Replies_20240301_005421","Views_20240301_020040","Replies_20240301_020040","Views_20240301_023235","Replies_20240301_023235","Views_20240301_032341","Replies_20240301_032341","Views_20240301_042309","Replies_20240301_042309","Views_20240301_052230","Replies_20240301_052230","Views_20240301_062510","Replies_20240301_062510","Views_20240301_072148","Replies_20240301_072148","Views_20240301_082231","Replies_20240301_082231","Views_20240301_092302","Replies_20240301_092302","Views_20240301_102110","Replies_20240301_102110","Views_20240301_112015","Replies_20240301_112015","Views_20240301_122736","Replies_20240301_122736","Views_20240301_132144","Replies_20240301_132144","Views_20240301_141938","Replies_20240301_141938","Views_20240301_152215","Replies_20240301_152215","Views_20240301_162138","Replies_20240301_162138","Views_20240301_172423","Replies_20240301_172423","Views_20240301_182412","Replies_20240301_182412","Views_20240301_192115","Replies_20240301_192115","Views_20240301_202215","Replies_20240301_202215","Views_20240301_212156","Replies_20240301_212156","Views_20240301_221904","Replies_20240301_221904","Views_20240301_232136","Replies_20240301_232136","Views_20240302_004949","Replies_20240302_004949","Views_20240302_014950","Replies_20240302_014950","Views_20240302_022431","Replies_20240302_022431","Views_20240302_032200","Replies_20240302_032200","Views_20240302_042257","Replies_20240302_042257","Views_20240302_052130","Replies_20240302_052130","Views_20240302_062432","Replies_20240302_062432","Views_20240302_071955","Replies_20240302_071955","Views_20240302_082237","Replies_20240302_082237","Views_20240302_092038","Replies_20240302_092038","Views_20240302_102112","Replies_20240302_102112","Views_20240302_112002","Replies_20240302_112002","Views_20240302_122648","Replies_20240302_122648","Views_20240302_131927","Replies_20240302_131927","Views_20240302_141937","Replies_20240302_141937","Views_20240302_152039","Replies_20240302_152039","Views_20240302_162259","Replies_20240302_162259","Views_20240302_171952","Replies_20240302_171952","Views_20240302_182335","Replies_20240302_182335","Views_20240302_191853","Replies_20240302_191853","Views_20240302_202041","Replies_20240302_202041","Views_20240302_211833","Replies_20240302_211833","Views_20240302_222008","Replies_20240302_222008","Views_20240302_232111","Replies_20240302_232111","Views_20240303_005117","Replies_20240303_005117","Views_20240303_015407","Replies_20240303_015407","Views_20240303_022925","Replies_20240303_022925","Views_20240303_032044","Replies_20240303_032044","Views_20240303_042417","Replies_20240303_042417","Views_20240303_052124","Replies_20240303_052124","Views_20240303_062339","Replies_20240303_062339","Views_20240303_072024","Replies_20240303_072024","Views_20240303_082234","Replies_20240303_082234","Views_20240303_092127","Replies_20240303_092127","Views_20240303_102337","Replies_20240303_102337","Views_20240303_111911","Replies_20240303_111911","Views_20240303_122650","Replies_20240303_122650","Views_20240303_132027","Replies_20240303_132027","Views_20240303_142037","Replies_20240303_142037","Views_20240303_152053","Replies_20240303_152053","Views_20240303_162209","Replies_20240303_162209","Views_20240303_171923","Replies_20240303_171923","Views_20240303_182207","Replies_20240303_182207","Views_20240303_191851","Replies_20240303_191851","Views_20240303_202141","Replies_20240303_202141","Views_20240303_212103","Replies_20240303_212103","Views_20240303_221836","Replies_20240303_221836","Views_20240303_232040","Replies_20240303_232040","Views_20240304_004946","Replies_20240304_004946","Views_20240304_020927","Replies_20240304_020927","Views_20240304_031122","Replies_20240304_031122","Views_20240304_035351","Replies_20240304_035351","Views_20240304_045034","Replies_20240304_045034","Views_20240304_055515","Replies_20240304_055515","Views_20240304_070951","Replies_20240304_070951","Views_20240304_080719","Replies_20240304_080719","Views_20240304_094303","Replies_20240304_094303","Views_20240304_113016","Replies_20240304_113016","Views_20240304_123300","Replies_20240304_123300","Views_20240304_132313","Replies_20240304_132313","Views_20240304_142129","Replies_20240304_142129"
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3362.aspx",7257,1,7257,1,7257,1,7257,1,7257,1,7257,1,7257,1,7257,1,7257,1,7258,1,7258,1,7258,1,7258,1,7258,1,7258,1,7258,1,7259,1,7259,1,7260,1,7260,1,7260,1,7260,1,7260,1,7260,1,7260,1,7260,1,7260,1,7260,1,7260,1,7260,1,7261,1,7261,1,7261,1,7261,1,7261,1,7261,1,7261,1,7261,1,7261,1,7261,1,7261,1,7261,1,7262,1,7262,1,7262,1,7263,1,7263,1,7263,1,7263,1,7263,1,7263,1,7263,1,7263,1,7263,1,7263,1,7263,1,7263,1,7263,1,7263,1,7263,1,7263,1,7263,1,7263,1,7263,1,7263,1,7263,1,7263,1,7263,1,7263,1,7263,1,7263,1,7264,1,7264,1,7264,1,7264,1,7264,1,7264,1,7264,1,7264,1,7264,1,7264,1,7264,1,7264,1,7264,1,7264,1
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3363.aspx",7285,1,7285,1,7285,1,7285,1,7285,1,7285,1,7285,1,7285,1,7285,1,7286,1,7286,1,7286,1,7286,1,7286,1,7286,1,7286,1,7287,1,7287,1,7288,1,7288,1,7288,1,7288,1,7288,1,7289,1,7289,1,7289,1,7289,1,7289,1,7289,1,7289,1,7289,1,7289,1,7289,1,7289,1,7289,1,7289,1,7289,1,7289,1,7289,1,7289,1,7289,1,7290,1,7290,1,7290,1,7290,1,7291,1,7291,1,7291,1,7291,1,7291,1,7291,1,7291,1,7291,1,7291,1,7291,1,7291,1,7291,1,7291,1,7291,1,7291,1,7291,1,7291,1,7291,1,7291,1,7291,1,7291,1,7291,1,7291,1,7291,1,7291,1,7291,1,7291,1,7291,1,7291,1,7291,1,7291,1,7291,1,7292,1,7292,1,7292,1,7293,1,7293,1,7293,1,7293,1,7293,1
"Adolescent nutrition","Adolescent nutrition indicators: which ones should be included in surveys?","Natasha Lelijveld","2022-06-07","https://www.en-net.org/question/4584.aspx",1333,0,1333,0,1333,0,1333,0,1333,0,1333,0,1333,0,1333,0,1334,0,1334,0,1334,0,1334,0,1334,0,1334,0,1334,0,1334,0,1335,0,1335,0,1336,0,1336,0,1336,0,1336,0,1336,0,1336,0,1336,0,1336,0,1336,0,1336,0,1336,0,1336,0,1336,0,1336,0,1336,0,1336,0,1336,0,1336,0,1336,0,1336,0,1336,0,1336,0,1336,0,1336,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0
"Adolescent nutrition","Adolescent Nutrition Needs during Menstruation Period","Sandra Phiri","2022-11-18","https://www.en-net.org/question/4718.aspx",1101,1,1102,1,1102,1,1102,1,1103,1,1103,1,1103,1,1103,1,1103,1,1104,1,1104,1,1104,1,1104,1,1104,1,1104,1,1104,1,1105,1,1105,1,1106,1,1106,1,1106,1,1106,1,1106,1,1106,1,1107,1,1107,1,1107,1,1107,1,1108,1,1108,1,1108,1,1108,1,1109,1,1109,1,1109,1,1109,1,1109,1,1109,1,1109,1,1109,1,1109,1,1109,1,1110,1,1110,1,1110,1,1111,1,1111,1,1111,1,1111,1,1111,1,1111,1,1111,1,1111,1,1111,1,1111,1,1111,1,1111,1,1111,1,1111,1,1111,1,1111,1,1111,1,1111,1,1111,1,1111,1,1111,1,1111,1,1112,1,1112,1,1112,1,1112,1,1112,1,1112,1,1112,1,1112,1,1112,1,1112,1,1112,1,1112,1,1112,1,1112,1,1112,1,1112,1,1112,1,1112,1
"Adolescent nutrition","adolescent school age nutrition education","Anonymous 23844","2018-07-04","https://www.en-net.org/question/3373.aspx",6784,1,6784,1,6784,1,6786,1,6786,1,6786,1,6786,1,6786,1,6786,1,6786,1,6786,1,6786,1,6786,1,6786,1,6786,1,6787,1,6788,1,6788,1,6789,1,6789,1,6789,1,6789,1,6789,1,6790,1,6791,1,6792,1,6792,1,6792,1,6792,1,6792,1,6792,1,6792,1,6792,1,6792,1,6792,1,6792,1,6792,1,6792,1,6792,1,6792,1,6792,1,6792,1,6793,1,6793,1,6793,1,6794,1,6794,1,6794,1,6794,1,6794,1,6794,1,6794,1,6794,1,6794,1,6794,1,6794,1,6794,1,6794,1,6794,1,6794,1,6794,1,6794,1,6794,1,6794,1,6794,1,6794,1,6794,1,6794,1,6794,1,6794,1,6794,1,6794,1,6794,1,6794,1,6794,1,6794,1,6794,1,6794,1,6794,1,6794,1,6794,1,6794,1,6794,1,6794,1,6794,1
"Adolescent nutrition","Adolescent school age nutrition education","Tamsin","2018-08-01","https://www.en-net.org/question/3403.aspx",6804,3,6804,3,6804,3,6805,3,6805,3,6805,3,6805,3,6805,3,6805,3,6805,3,6805,3,6805,3,6805,3,6805,3,6805,3,6805,3,6806,3,6806,3,6808,3,6808,3,6808,3,6808,3,6808,3,6808,3,6808,3,6808,3,6808,3,6809,3,6809,3,6809,3,6809,3,6809,3,6809,3,6809,3,6809,3,6809,3,6809,3,6809,3,6809,3,6809,3,6809,3,6810,3,6810,3,6810,3,6810,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3
"Adolescent nutrition","Adolescent-Friendly ANC in Pakistan - RFP for Formative Research","Jen","2024-02-12","https://www.en-net.org/question/5012.aspx",151,0,152,0,152,0,152,0,152,0,152,0,152,0,152,0,152,0,152,0,152,0,152,0,152,0,152,0,152,0,152,0,153,0,153,0,155,0,155,0,155,0,155,0,155,0,155,0,156,0,156,0,156,0,156,0,156,0,156,0,156,0,156,0,156,0,156,0,156,0,156,0,156,0,156,0,156,0,156,0,156,0,156,0,157,0,157,0,157,0,157,0,157,0,157,0,157,0,157,0,157,0,157,0,157,0,157,0,157,0,157,0,157,0,157,0,157,0,157,0,157,0,157,0,158,0,158,0,158,0,158,0,158,0,158,0,158,0,158,0,158,0,158,0,158,0,158,0,158,0,158,0,158,0,159,0,160,0,160,0,160,0,161,0,161,0,161,0,161,0
"Adolescent nutrition","Age group of adolescents","Anonymous 35931","2020-02-15","https://www.en-net.org/question/3853.aspx",5769,1,5769,1,5769,1,5769,1,5770,1,5770,1,5770,1,5770,1,5770,1,5770,1,5770,1,5770,1,5770,1,5770,1,5770,1,5770,1,5771,1,5771,1,5772,1,5772,1,5772,1,5772,1,5772,1,5772,1,5773,1,5773,1,5773,1,5773,1,5773,1,5773,1,5773,1,5773,1,5773,1,5773,1,5773,1,5773,1,5773,1,5773,1,5773,1,5773,1,5773,1,5774,1,5774,1,5774,1,5774,1,5774,1,5774,1,5774,1,5774,1,5774,1,5774,1,5774,1,5774,1,5774,1,5774,1,5774,1,5774,1,5774,1,5774,1,5774,1,5774,1,5774,1,5774,1,5774,1,5774,1,5774,1,5774,1,5774,1,5774,1,5774,1,5774,1,5774,1,5774,1,5774,1,5774,1,5774,1,5774,1,5774,1,5774,1,5774,1,5774,1,5774,1,5774,1,5774,1,5774,1
"Adolescent nutrition","anthropometry for adolescents?","Emily Mates","2018-06-29","https://www.en-net.org/question/3371.aspx",7093,2,7093,2,7093,2,7093,2,7093,2,7093,2,7093,2,7093,2,7093,2,7093,2,7093,2,7094,2,7094,2,7094,2,7094,2,7094,2,7095,2,7095,2,7098,2,7098,2,7098,2,7098,2,7099,2,7099,2,7100,2,7100,2,7100,2,7100,2,7100,2,7100,2,7100,2,7100,2,7100,2,7100,2,7100,2,7100,2,7100,2,7100,2,7100,2,7100,2,7100,2,7100,2,7101,2,7101,2,7101,2,7102,2,7102,2,7103,2,7103,2,7103,2,7103,2,7103,2,7104,2,7104,2,7104,2,7104,2,7104,2,7104,2,7104,2,7104,2,7104,2,7104,2,7104,2,7104,2,7105,2,7105,2,7105,2,7105,2,7105,2,7105,2,7105,2,7105,2,7105,2,7105,2,7105,2,7105,2,7105,2,7105,2,7105,2,7105,2,7105,2,7105,2,7106,2,7106,2,7106,2
"Adolescent nutrition","Assessing nutrition knowledge in adolescents","Ursula Truebswasser","2018-07-25","https://www.en-net.org/question/3391.aspx",7128,3,7128,3,7128,3,7128,3,7128,3,7128,3,7128,3,7128,3,7128,3,7128,3,7128,3,7128,3,7128,3,7128,3,7128,3,7128,3,7129,3,7129,3,7130,3,7130,3,7130,3,7130,3,7130,3,7130,3,7130,3,7130,3,7130,3,7130,3,7130,3,7130,3,7130,3,7130,3,7130,3,7130,3,7130,3,7130,3,7130,3,7130,3,7130,3,7130,3,7130,3,7131,3,7131,3,7131,3,7132,3,7133,3,7133,3,7133,3,7133,3,7133,3,7133,3,7134,3,7134,3,7134,3,7134,3,7134,3,7134,3,7134,3,7134,3,7134,3,7134,3,7134,3,7134,3,7134,3,7134,3,7134,3,7134,3,7134,3,7134,3,7134,3,7134,3,7134,3,7134,3,7134,3,7134,3,7134,3,7134,3,7134,3,7134,3,7134,3,7135,3,7135,3,7135,3,7135,3,7135,3
