"Theme","Topic","Author","Posted","Link","Views_20230501_004954","Replies_20230501_004954","Views_20230501_020749","Replies_20230501_020749","Views_20230501_031507","Replies_20230501_031507","Views_20230501_041555","Replies_20230501_041555","Views_20230501_051433","Replies_20230501_051433","Views_20230501_061758","Replies_20230501_061758","Views_20230501_071412","Replies_20230501_071412","Views_20230501_081729","Replies_20230501_081729","Views_20230501_091505","Replies_20230501_091505","Views_20230501_101505","Replies_20230501_101505","Views_20230501_111258","Replies_20230501_111258","Views_20230501_122114","Replies_20230501_122114","Views_20230501_131618","Replies_20230501_131618","Views_20230501_141416","Replies_20230501_141416","Views_20230501_151454","Replies_20230501_151454","Views_20230501_161641","Replies_20230501_161641","Views_20230501_171333","Replies_20230501_171333","Views_20230501_181631","Replies_20230501_181631","Views_20230501_191233","Replies_20230501_191233","Views_20230501_201440","Replies_20230501_201440","Views_20230501_211315","Replies_20230501_211315","Views_20230501_221355","Replies_20230501_221355","Views_20230501_231353","Replies_20230501_231353","Views_20230502_004808","Replies_20230502_004808","Views_20230502_020531","Replies_20230502_020531","Views_20230502_023819","Replies_20230502_023819","Views_20230502_031534","Replies_20230502_031534","Views_20230502_041535","Replies_20230502_041535","Views_20230502_051429","Replies_20230502_051429","Views_20230502_061718","Replies_20230502_061718","Views_20230502_071359","Replies_20230502_071359","Views_20230502_081627","Replies_20230502_081627","Views_20230502_091449","Replies_20230502_091449","Views_20230502_101440","Replies_20230502_101440","Views_20230502_111331","Replies_20230502_111331","Views_20230502_122218","Replies_20230502_122218","Views_20230502_141425","Replies_20230502_141425","Views_20230502_151629","Replies_20230502_151629","Views_20230502_161548","Replies_20230502_161548","Views_20230502_171324","Replies_20230502_171324","Views_20230502_181551","Replies_20230502_181551","Views_20230502_191321","Replies_20230502_191321","Views_20230502_201409","Replies_20230502_201409","Views_20230502_211319","Replies_20230502_211319","Views_20230502_221331","Replies_20230502_221331","Views_20230502_231346","Replies_20230502_231346","Views_20230503_004704","Replies_20230503_004704","Views_20230503_020442","Replies_20230503_020442","Views_20230503_023514","Replies_20230503_023514","Views_20230503_031509","Replies_20230503_031509","Views_20230503_041523","Replies_20230503_041523","Views_20230503_051442","Replies_20230503_051442","Views_20230503_061646","Replies_20230503_061646","Views_20230503_071411","Replies_20230503_071411","Views_20230503_081626","Replies_20230503_081626","Views_20230503_091413","Replies_20230503_091413","Views_20230503_101453","Replies_20230503_101453","Views_20230503_111340","Replies_20230503_111340","Views_20230503_122126","Replies_20230503_122126","Views_20230503_131638","Replies_20230503_131638","Views_20230503_141509","Replies_20230503_141509","Views_20230503_151500","Replies_20230503_151500","Views_20230503_161706","Replies_20230503_161706","Views_20230503_171316","Replies_20230503_171316","Views_20230503_181602","Replies_20230503_181602","Views_20230503_191303","Replies_20230503_191303","Views_20230503_201456","Replies_20230503_201456","Views_20230503_211429","Replies_20230503_211429","Views_20230503_221344","Replies_20230503_221344","Views_20230503_231401","Replies_20230503_231401","Views_20230504_004726","Replies_20230504_004726","Views_20230504_020348","Replies_20230504_020348","Views_20230504_023353","Replies_20230504_023353","Views_20230504_031526","Replies_20230504_031526","Views_20230504_041638","Replies_20230504_041638","Views_20230504_051357","Replies_20230504_051357","Views_20230504_061700","Replies_20230504_061700","Views_20230504_071341","Replies_20230504_071341","Views_20230504_081626","Replies_20230504_081626","Views_20230504_091419","Replies_20230504_091419"
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3362.aspx",6686,1,6686,1,6686,1,6686,1,6686,1,6686,1,6686,1,6686,1,6687,1,6688,1,6688,1,6689,1,6689,1,6689,1,6689,1,6689,1,6690,1,6690,1,6690,1,6690,1,6690,1,6690,1,6690,1,6690,1,6690,1,6690,1,6690,1,6690,1,6690,1,6690,1,6690,1,6690,1,6690,1,6690,1,6690,1,6690,1,6690,1,6690,1,6690,1,6690,1,6690,1,6690,1,6690,1,6690,1,6690,1,6690,1,6690,1,6690,1,6690,1,6690,1,6690,1,6690,1,6690,1,6690,1,6690,1,6690,1,6690,1,6690,1,6690,1,6690,1,6690,1,6690,1,6691,1,6691,1,6691,1,6691,1,6691,1,6691,1,6691,1,6691,1,6691,1,6691,1,6691,1,6691,1,6691,1,6692,1,6692,1,6692,1,6692,1,6692,1
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3363.aspx",6718,1,6718,1,6718,1,6718,1,6718,1,6718,1,6718,1,6719,1,6719,1,6719,1,6719,1,6719,1,6719,1,6719,1,6719,1,6719,1,6719,1,6719,1,6719,1,6719,1,6719,1,6719,1,6719,1,6719,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1,6720,1
"Adolescent nutrition","Adolescent nutrition indicators: which ones should be included in surveys?","Natasha Lelijveld","2022-06-07","https://www.en-net.org/question/4584.aspx",732,0,732,0,732,0,732,0,732,0,732,0,732,0,733,0,734,0,734,0,734,0,734,0,734,0,734,0,734,0,736,0,736,0,736,0,736,0,736,0,736,0,736,0,736,0,736,0,736,0,736,0,737,0,737,0,737,0,737,0,738,0,738,0,738,0,738,0,738,0,738,0,738,0,738,0,738,0,738,0,738,0,738,0,739,0,739,0,739,0,739,0,739,0,739,0,739,0,739,0,739,0,739,0,739,0,739,0,739,0,739,0,739,0,739,0,739,0,740,0,740,0,740,0,740,0,740,0,740,0,740,0,740,0,740,0,740,0,740,0,740,0,740,0,740,0,740,0,740,0,740,0,740,0,741,0,741,0,741,0
"Adolescent nutrition","Adolescent Nutrition Needs during Menstruation Period","Sandra Phiri","2022-11-18","https://www.en-net.org/question/4718.aspx",500,1,500,1,500,1,500,1,500,1,500,1,500,1,501,1,502,1,502,1,502,1,502,1,502,1,502,1,502,1,502,1,502,1,502,1,502,1,502,1,502,1,502,1,502,1,502,1,502,1,502,1,502,1,502,1,502,1,502,1,502,1,502,1,502,1,502,1,502,1,502,1,502,1,502,1,502,1,502,1,502,1,502,1,502,1,502,1,502,1,502,1,502,1,502,1,502,1,502,1,502,1,503,1,503,1,503,1,503,1,503,1,503,1,503,1,503,1,503,1,503,1,503,1,503,1,503,1,503,1,503,1,503,1,503,1,503,1,503,1,503,1,503,1,503,1,503,1,503,1,503,1,503,1,503,1,503,1,503,1
"Adolescent nutrition","adolescent school age nutrition education","Anonymous 23844","2018-07-04","https://www.en-net.org/question/3373.aspx",6219,1,6220,1,6220,1,6220,1,6220,1,6220,1,6220,1,6221,1,6222,1,6223,1,6223,1,6223,1,6223,1,6223,1,6223,1,6224,1,6224,1,6224,1,6224,1,6224,1,6224,1,6225,1,6225,1,6225,1,6225,1,6225,1,6225,1,6225,1,6225,1,6225,1,6225,1,6225,1,6225,1,6225,1,6225,1,6226,1,6226,1,6226,1,6226,1,6226,1,6227,1,6227,1,6227,1,6227,1,6227,1,6227,1,6227,1,6227,1,6227,1,6227,1,6227,1,6227,1,6227,1,6227,1,6227,1,6227,1,6227,1,6227,1,6227,1,6227,1,6227,1,6227,1,6227,1,6228,1,6228,1,6228,1,6228,1,6228,1,6228,1,6228,1,6228,1,6228,1,6228,1,6228,1,6228,1,6229,1,6229,1,6229,1,6230,1,6230,1
"Adolescent nutrition","Adolescent school age nutrition education","Tamsin","2018-08-01","https://www.en-net.org/question/3403.aspx",6265,3,6265,3,6265,3,6266,3,6266,3,6266,3,6266,3,6267,3,6268,3,6269,3,6269,3,6269,3,6269,3,6269,3,6269,3,6269,3,6270,3,6270,3,6270,3,6270,3,6270,3,6270,3,6271,3,6271,3,6271,3,6271,3,6271,3,6271,3,6271,3,6271,3,6271,3,6271,3,6271,3,6272,3,6272,3,6272,3,6272,3,6272,3,6272,3,6272,3,6272,3,6272,3,6272,3,6272,3,6272,3,6272,3,6272,3,6273,3,6273,3,6273,3,6273,3,6273,3,6273,3,6273,3,6273,3,6273,3,6273,3,6273,3,6273,3,6273,3,6273,3,6273,3,6273,3,6273,3,6273,3,6273,3,6273,3,6273,3,6273,3,6273,3,6273,3,6273,3,6273,3,6273,3,6273,3,6273,3,6273,3,6273,3,6273,3,6273,3
"Adolescent nutrition","Age group of adolescents","Anonymous 35931","2020-02-15","https://www.en-net.org/question/3853.aspx",5144,1,5144,1,5144,1,5144,1,5144,1,5144,1,5144,1,5145,1,5145,1,5145,1,5145,1,5145,1,5145,1,5146,1,5146,1,5147,1,5147,1,5148,1,5148,1,5148,1,5148,1,5148,1,5148,1,5148,1,5148,1,5148,1,5148,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5149,1,5150,1
"Adolescent nutrition","anthropometry for adolescents?","Emily Mates","2018-06-29","https://www.en-net.org/question/3371.aspx",6500,2,6500,2,6500,2,6501,2,6502,2,6502,2,6502,2,6503,2,6503,2,6503,2,6503,2,6503,2,6503,2,6503,2,6503,2,6503,2,6503,2,6503,2,6503,2,6503,2,6503,2,6503,2,6503,2,6503,2,6503,2,6503,2,6503,2,6503,2,6503,2,6503,2,6504,2,6504,2,6504,2,6504,2,6504,2,6504,2,6504,2,6504,2,6504,2,6504,2,6504,2,6504,2,6504,2,6504,2,6504,2,6504,2,6504,2,6504,2,6504,2,6504,2,6504,2,6504,2,6504,2,6504,2,6504,2,6504,2,6504,2,6504,2,6504,2,6504,2,6504,2,6505,2,6505,2,6505,2,6505,2,6505,2,6505,2,6505,2,6505,2,6505,2,6505,2,6505,2,6505,2,6505,2,6505,2,6505,2,6505,2,6505,2,6505,2,6505,2
"Adolescent nutrition","Assessing nutrition knowledge in adolescents","Ursula Truebswasser","2018-07-25","https://www.en-net.org/question/3391.aspx",6547,3,6547,3,6547,3,6547,3,6547,3,6547,3,6547,3,6547,3,6547,3,6547,3,6547,3,6547,3,6547,3,6547,3,6547,3,6547,3,6547,3,6547,3,6547,3,6547,3,6547,3,6547,3,6547,3,6547,3,6547,3,6547,3,6547,3,6547,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3,6548,3
"Adolescent nutrition","Cut off BMI for adolescents up to 19 years old","Anonymous 35931","2021-08-22","https://www.en-net.org/question/4383.aspx",3894,1,3894,1,3894,1,3894,1,3894,1,3894,1,3894,1,3894,1,3895,1,3896,1,3896,1,3896,1,3896,1,3896,1,3896,1,3896,1,3897,1,3897,1,3897,1,3897,1,3897,1,3897,1,3897,1,3897,1,3897,1,3897,1,3897,1,3897,1,3897,1,3897,1,3897,1,3897,1,3898,1,3898,1,3898,1,3898,1,3898,1,3898,1,3899,1,3899,1,3899,1,3899,1,3899,1,3899,1,3899,1,3899,1,3899,1,3899,1,3899,1,3899,1,3899,1,3899,1,3899,1,3899,1,3899,1,3899,1,3899,1,3899,1,3899,1,3899,1,3899,1,3899,1,3899,1,3899,1,3899,1,3899,1,3899,1,3899,1,3899,1,3899,1,3899,1,3899,1,3899,1,3899,1,3899,1,3899,1,3899,1,3899,1,3901,1,3902,1
