"Theme","Topic","Author","Posted","Link","Views_20221101_011218","Replies_20221101_011218","Views_20221101_040624","Replies_20221101_040624","Views_20221101_054447","Replies_20221101_054447","Views_20221101_062326","Replies_20221101_062326","Views_20221101_071630","Replies_20221101_071630","Views_20221101_081723","Replies_20221101_081723","Views_20221101_091349","Replies_20221101_091349","Views_20221101_101429","Replies_20221101_101429","Views_20221101_111200","Replies_20221101_111200","Views_20221101_122714","Replies_20221101_122714","Views_20221101_134437","Replies_20221101_134437","Views_20221101_142117","Replies_20221101_142117","Views_20221101_151445","Replies_20221101_151445","Views_20221101_161832","Replies_20221101_161832","Views_20221101_172308","Replies_20221101_172308","Views_20221101_181621","Replies_20221101_181621","Views_20221101_191224","Replies_20221101_191224","Views_20221101_201527","Replies_20221101_201527","Views_20221101_211250","Replies_20221101_211250","Views_20221101_221414","Replies_20221101_221414","Views_20221101_231425","Replies_20221101_231425","Views_20221102_010415","Replies_20221102_010415","Views_20221102_035441","Replies_20221102_035441","Views_20221102_045736","Replies_20221102_045736","Views_20221102_054159","Replies_20221102_054159","Views_20221102_061957","Replies_20221102_061957","Views_20221102_071434","Replies_20221102_071434","Views_20221102_081648","Replies_20221102_081648","Views_20221102_091318","Replies_20221102_091318","Views_20221102_101452","Replies_20221102_101452","Views_20221102_111246","Replies_20221102_111246","Views_20221102_122455","Replies_20221102_122455","Views_20221102_134740","Replies_20221102_134740","Views_20221102_142156","Replies_20221102_142156","Views_20221102_151400","Replies_20221102_151400","Views_20221102_161836","Replies_20221102_161836","Views_20221102_172759","Replies_20221102_172759","Views_20221102_181628","Replies_20221102_181628","Views_20221102_191116","Replies_20221102_191116","Views_20221102_201440","Replies_20221102_201440","Views_20221102_211341","Replies_20221102_211341","Views_20221102_221318","Replies_20221102_221318","Views_20221102_231246","Replies_20221102_231246","Views_20221103_005927","Replies_20221103_005927","Views_20221103_030244","Replies_20221103_030244","Views_20221103_035936","Replies_20221103_035936","Views_20221103_043627","Replies_20221103_043627","Views_20221103_051939","Replies_20221103_051939","Views_20221103_061544","Replies_20221103_061544","Views_20221103_071056","Replies_20221103_071056","Views_20221103_081702","Replies_20221103_081702","Views_20221103_091410","Replies_20221103_091410","Views_20221103_101356","Replies_20221103_101356","Views_20221103_111048","Replies_20221103_111048","Views_20221103_122203","Replies_20221103_122203","Views_20221103_133946","Replies_20221103_133946","Views_20221103_141654","Replies_20221103_141654","Views_20221103_151706","Replies_20221103_151706","Views_20221103_162001","Replies_20221103_162001","Views_20221103_171837","Replies_20221103_171837","Views_20221103_181821","Replies_20221103_181821","Views_20221103_191031","Replies_20221103_191031","Views_20221103_201112","Replies_20221103_201112","Views_20221103_211149","Replies_20221103_211149","Views_20221103_221204","Replies_20221103_221204","Views_20221103_231358","Replies_20221103_231358","Views_20221104_010015","Replies_20221104_010015","Views_20221104_031041","Replies_20221104_031041","Views_20221104_043822","Replies_20221104_043822","Views_20221104_052054","Replies_20221104_052054","Views_20221104_061542","Replies_20221104_061542","Views_20221104_071210","Replies_20221104_071210","Views_20221104_081618","Replies_20221104_081618","Views_20221104_091300","Replies_20221104_091300","Views_20221104_101437","Replies_20221104_101437"
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3362.aspx",6285,1,6286,1,6286,1,6286,1,6287,1,6287,1,6287,1,6287,1,6287,1,6287,1,6289,1,6289,1,6290,1,6290,1,6290,1,6290,1,6290,1,6290,1,6291,1,6291,1,6291,1,6291,1,6291,1,6291,1,6291,1,6291,1,6291,1,6291,1,6291,1,6291,1,6291,1,6291,1,6291,1,6291,1,6291,1,6291,1,6291,1,6291,1,6291,1,6291,1,6291,1,6291,1,6291,1,6291,1,6291,1,6291,1,6291,1,6291,1,6292,1,6293,1,6293,1,6294,1,6294,1,6294,1,6294,1,6294,1,6294,1,6294,1,6294,1,6294,1,6294,1,6294,1,6295,1,6295,1,6295,1,6295,1,6295,1,6296,1,6296,1,6296,1,6296,1,6296,1,6296,1,6296,1,6296,1
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3363.aspx",6345,1,6345,1,6345,1,6346,1,6347,1,6347,1,6347,1,6347,1,6347,1,6347,1,6347,1,6347,1,6348,1,6348,1,6348,1,6348,1,6348,1,6348,1,6349,1,6349,1,6349,1,6349,1,6350,1,6350,1,6350,1,6350,1,6350,1,6350,1,6350,1,6350,1,6350,1,6350,1,6351,1,6351,1,6351,1,6351,1,6351,1,6351,1,6351,1,6351,1,6351,1,6351,1,6351,1,6351,1,6351,1,6351,1,6351,1,6351,1,6352,1,6353,1,6353,1,6354,1,6354,1,6354,1,6354,1,6354,1,6354,1,6355,1,6355,1,6355,1,6355,1,6355,1,6355,1,6356,1,6357,1,6357,1,6357,1,6357,1,6357,1,6357,1,6357,1,6357,1,6357,1,6357,1,6357,1
"Adolescent nutrition","Adolescent nutrition indicators: which ones should be included in surveys?","Natasha Lelijveld","2022-06-07","https://www.en-net.org/question/4584.aspx",370,0,370,0,370,0,370,0,370,0,370,0,370,0,370,0,370,0,370,0,370,0,370,0,370,0,370,0,370,0,370,0,370,0,370,0,370,0,370,0,370,0,370,0,370,0,370,0,370,0,370,0,370,0,370,0,370,0,370,0,370,0,370,0,370,0,370,0,370,0,370,0,370,0,370,0,370,0,370,0,370,0,370,0,370,0,370,0,371,0,371,0,371,0,371,0,372,0,372,0,372,0,372,0,372,0,372,0,372,0,372,0,372,0,372,0,372,0,372,0,372,0,372,0,372,0,372,0,372,0,372,0,372,0,372,0,372,0,372,0,372,0,372,0,372,0,372,0,372,0
"Adolescent nutrition","adolescent school age nutrition education","Anonymous 23844","2018-07-04","https://www.en-net.org/question/3373.aspx",5886,1,5887,1,5888,1,5888,1,5888,1,5888,1,5888,1,5888,1,5888,1,5888,1,5890,1,5890,1,5891,1,5891,1,5891,1,5891,1,5891,1,5891,1,5892,1,5892,1,5892,1,5892,1,5892,1,5892,1,5892,1,5892,1,5893,1,5893,1,5893,1,5894,1,5894,1,5894,1,5894,1,5894,1,5894,1,5894,1,5894,1,5894,1,5894,1,5894,1,5894,1,5894,1,5894,1,5896,1,5896,1,5896,1,5897,1,5897,1,5897,1,5897,1,5897,1,5897,1,5897,1,5897,1,5897,1,5897,1,5897,1,5897,1,5897,1,5897,1,5897,1,5897,1,5897,1,5898,1,5898,1,5898,1,5898,1,5898,1,5898,1,5898,1,5898,1,5898,1,5898,1,5898,1,5898,1
"Adolescent nutrition","Adolescent school age nutrition education","Tamsin","2018-08-01","https://www.en-net.org/question/3403.aspx",5913,3,5914,3,5914,3,5914,3,5914,3,5915,3,5915,3,5915,3,5915,3,5915,3,5915,3,5916,3,5916,3,5916,3,5916,3,5916,3,5916,3,5916,3,5917,3,5917,3,5917,3,5917,3,5918,3,5918,3,5918,3,5918,3,5918,3,5918,3,5918,3,5918,3,5918,3,5918,3,5918,3,5918,3,5918,3,5918,3,5918,3,5919,3,5919,3,5919,3,5919,3,5919,3,5919,3,5920,3,5920,3,5920,3,5920,3,5920,3,5920,3,5920,3,5920,3,5920,3,5920,3,5920,3,5920,3,5920,3,5920,3,5920,3,5920,3,5920,3,5920,3,5920,3,5920,3,5920,3,5921,3,5921,3,5921,3,5921,3,5921,3,5921,3,5921,3,5921,3,5921,3,5921,3,5921,3
"Adolescent nutrition","Age group of adolescents","Anonymous 35931","2020-02-15","https://www.en-net.org/question/3853.aspx",4780,1,4781,1,4781,1,4781,1,4781,1,4781,1,4781,1,4781,1,4781,1,4781,1,4781,1,4781,1,4781,1,4781,1,4781,1,4781,1,4781,1,4781,1,4781,1,4782,1,4782,1,4782,1,4782,1,4782,1,4782,1,4782,1,4782,1,4782,1,4782,1,4782,1,4782,1,4782,1,4783,1,4783,1,4784,1,4784,1,4784,1,4784,1,4784,1,4784,1,4784,1,4784,1,4784,1,4786,1,4787,1,4787,1,4787,1,4787,1,4787,1,4787,1,4788,1,4788,1,4788,1,4788,1,4788,1,4788,1,4788,1,4788,1,4788,1,4788,1,4788,1,4788,1,4788,1,4788,1,4788,1,4788,1,4788,1,4788,1,4788,1,4788,1,4788,1,4788,1,4788,1,4788,1,4788,1
"Adolescent nutrition","anthropometry for adolescents?","Emily Mates","2018-06-29","https://www.en-net.org/question/3371.aspx",6114,2,6114,2,6114,2,6114,2,6114,2,6114,2,6114,2,6114,2,6114,2,6114,2,6114,2,6114,2,6115,2,6115,2,6115,2,6115,2,6116,2,6116,2,6117,2,6117,2,6117,2,6117,2,6117,2,6117,2,6117,2,6117,2,6117,2,6117,2,6117,2,6117,2,6117,2,6117,2,6117,2,6117,2,6117,2,6118,2,6118,2,6118,2,6118,2,6118,2,6118,2,6118,2,6118,2,6120,2,6120,2,6121,2,6121,2,6121,2,6121,2,6121,2,6122,2,6122,2,6122,2,6122,2,6122,2,6122,2,6122,2,6122,2,6122,2,6122,2,6122,2,6122,2,6122,2,6122,2,6122,2,6122,2,6122,2,6122,2,6122,2,6122,2,6122,2,6122,2,6122,2,6122,2,6122,2
"Adolescent nutrition","Assessing nutrition knowledge in adolescents","Ursula Truebswasser","2018-07-25","https://www.en-net.org/question/3391.aspx",6184,3,6186,3,6186,3,6186,3,6186,3,6186,3,6186,3,6186,3,6186,3,6186,3,6186,3,6186,3,6186,3,6187,3,6187,3,6187,3,6187,3,6187,3,6188,3,6188,3,6188,3,6188,3,6188,3,6188,3,6188,3,6188,3,6188,3,6188,3,6188,3,6188,3,6188,3,6188,3,6188,3,6188,3,6188,3,6188,3,6188,3,6188,3,6188,3,6188,3,6188,3,6188,3,6188,3,6190,3,6190,3,6190,3,6190,3,6190,3,6190,3,6190,3,6190,3,6190,3,6190,3,6190,3,6190,3,6190,3,6190,3,6190,3,6190,3,6190,3,6190,3,6190,3,6190,3,6190,3,6190,3,6190,3,6190,3,6190,3,6190,3,6190,3,6190,3,6190,3,6190,3,6190,3,6190,3
"Adolescent nutrition","Cut off BMI for adolescents up to 19 years old","Anonymous 35931","2021-08-22","https://www.en-net.org/question/4383.aspx",3545,1,3545,1,3545,1,3545,1,3545,1,3545,1,3545,1,3545,1,3545,1,3545,1,3545,1,3545,1,3545,1,3545,1,3545,1,3545,1,3545,1,3545,1,3545,1,3546,1,3546,1,3546,1,3546,1,3546,1,3546,1,3546,1,3546,1,3546,1,3546,1,3546,1,3546,1,3546,1,3546,1,3546,1,3546,1,3546,1,3547,1,3547,1,3547,1,3547,1,3547,1,3547,1,3547,1,3547,1,3547,1,3547,1,3547,1,3547,1,3548,1,3548,1,3548,1,3548,1,3548,1,3548,1,3548,1,3548,1,3548,1,3548,1,3549,1,3549,1,3549,1,3549,1,3549,1,3549,1,3549,1,3549,1,3550,1,3551,1,3551,1,3551,1,3551,1,3551,1,3552,1,3552,1,3552,1
"Adolescent nutrition","health education intervention among adolescent girls","Anonymous 23844","2018-06-19","https://www.en-net.org/question/3357.aspx",5784,1,5784,1,5784,1,5784,1,5784,1,5784,1,5784,1,5784,1,5784,1,5784,1,5784,1,5784,1,5785,1,5785,1,5786,1,5786,1,5786,1,5786,1,5787,1,5787,1,5787,1,5787,1,5788,1,5788,1,5788,1,5788,1,5788,1,5789,1,5789,1,5789,1,5789,1,5790,1,5790,1,5790,1,5790,1,5790,1,5790,1,5790,1,5790,1,5790,1,5790,1,5790,1,5790,1,5790,1,5791,1,5792,1,5792,1,5792,1,5793,1,5793,1,5793,1,5793,1,5793,1,5793,1,5793,1,5793,1,5793,1,5794,1,5794,1,5794,1,5794,1,5795,1,5795,1,5795,1,5795,1,5795,1,5795,1,5795,1,5795,1,5795,1,5795,1,5795,1,5795,1,5795,1,5795,1
