"Theme","Topic","Author","Posted","Link","Views_20231001_005153","Replies_20231001_005153","Views_20231001_020315","Replies_20231001_020315","Views_20231001_023124","Replies_20231001_023124","Views_20231001_031813","Replies_20231001_031813","Views_20231001_041923","Replies_20231001_041923","Views_20231001_051729","Replies_20231001_051729","Views_20231001_062004","Replies_20231001_062004","Views_20231001_071653","Replies_20231001_071653","Views_20231001_082013","Replies_20231001_082013","Views_20231001_091650","Replies_20231001_091650","Views_20231001_101754","Replies_20231001_101754","Views_20231001_111604","Replies_20231001_111604","Views_20231001_122346","Replies_20231001_122346","Views_20231001_131726","Replies_20231001_131726","Views_20231001_141705","Replies_20231001_141705","Views_20231001_151636","Replies_20231001_151636","Views_20231001_161851","Replies_20231001_161851","Views_20231001_171646","Replies_20231001_171646","Views_20231001_181926","Replies_20231001_181926","Views_20231001_191604","Replies_20231001_191604","Views_20231001_201706","Replies_20231001_201706","Views_20231001_211652","Replies_20231001_211652","Views_20231001_221633","Replies_20231001_221633","Views_20231001_231726","Replies_20231001_231726","Views_20231002_004730","Replies_20231002_004730","Views_20231002_015435","Replies_20231002_015435","Views_20231002_022643","Replies_20231002_022643","Views_20231002_031836","Replies_20231002_031836","Views_20231002_041906","Replies_20231002_041906","Views_20231002_051733","Replies_20231002_051733","Views_20231002_062056","Replies_20231002_062056","Views_20231002_071802","Replies_20231002_071802","Views_20231002_082140","Replies_20231002_082140","Views_20231002_091839","Replies_20231002_091839","Views_20231002_101906","Replies_20231002_101906","Views_20231002_111629","Replies_20231002_111629","Views_20231002_122544","Replies_20231002_122544","Views_20231002_132057","Replies_20231002_132057","Views_20231002_141829","Replies_20231002_141829","Views_20231002_151836","Replies_20231002_151836","Views_20231002_162012","Replies_20231002_162012","Views_20231002_171718","Replies_20231002_171718","Views_20231002_182017","Replies_20231002_182017","Views_20231002_191615","Replies_20231002_191615","Views_20231002_201824","Replies_20231002_201824","Views_20231002_211728","Replies_20231002_211728","Views_20231002_221713","Replies_20231002_221713","Views_20231002_231832","Replies_20231002_231832","Views_20231003_004644","Replies_20231003_004644","Views_20231003_015324","Replies_20231003_015324","Views_20231003_022609","Replies_20231003_022609","Views_20231003_031811","Replies_20231003_031811","Views_20231003_041934","Replies_20231003_041934","Views_20231003_051720","Replies_20231003_051720","Views_20231003_062126","Replies_20231003_062126","Views_20231003_071724","Replies_20231003_071724","Views_20231003_091831","Replies_20231003_091831","Views_20231003_101842","Replies_20231003_101842","Views_20231003_111624","Replies_20231003_111624","Views_20231003_122456","Replies_20231003_122456","Views_20231003_132141","Replies_20231003_132141","Views_20231003_141741","Replies_20231003_141741","Views_20231003_151914","Replies_20231003_151914","Views_20231003_162034","Replies_20231003_162034","Views_20231003_171717","Replies_20231003_171717","Views_20231003_182053","Replies_20231003_182053","Views_20231003_191633","Replies_20231003_191633","Views_20231003_201846","Replies_20231003_201846","Views_20231003_211654","Replies_20231003_211654","Views_20231003_221657","Replies_20231003_221657","Views_20231003_231743","Replies_20231003_231743","Views_20231004_004707","Replies_20231004_004707","Views_20231004_015417","Replies_20231004_015417","Views_20231004_022645","Replies_20231004_022645","Views_20231004_031840","Replies_20231004_031840","Views_20231004_041936","Replies_20231004_041936","Views_20231004_051748","Replies_20231004_051748","Views_20231004_062121","Replies_20231004_062121","Views_20231004_071744","Replies_20231004_071744","Views_20231004_082050","Replies_20231004_082050","Views_20231004_091643","Replies_20231004_091643","Views_20231004_101915","Replies_20231004_101915","Views_20231004_111749","Replies_20231004_111749","Views_20231004_122557","Replies_20231004_122557","Views_20231004_132103","Replies_20231004_132103","Views_20231004_141637","Replies_20231004_141637","Views_20231004_151710","Replies_20231004_151710"
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3362.aspx",6968,1,6968,1,6968,1,6968,1,6968,1,6968,1,6968,1,6968,1,6968,1,6968,1,6968,1,6968,1,6968,1,6968,1,6968,1,6968,1,6970,1,6970,1,6970,1,6970,1,6970,1,6972,1,6972,1,6972,1,6972,1,6972,1,6972,1,6972,1,6973,1,6973,1,6973,1,6973,1,6973,1,6973,1,6973,1,6974,1,6974,1,6974,1,6975,1,6975,1,6975,1,6975,1,6975,1,6975,1,6975,1,6975,1,6975,1,6975,1,6975,1,6975,1,6975,1,6976,1,6976,1,6976,1,6976,1,6976,1,6976,1,6976,1,6976,1,6976,1,6976,1,6976,1,6976,1,6976,1,6976,1,6976,1,6976,1,6976,1,6976,1,6976,1,6976,1,6976,1,6976,1,6976,1,6976,1,6976,1,6977,1,6977,1,6977,1,6977,1,6978,1,6978,1,6978,1,6978,1,6978,1,6978,1,6978,1
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3363.aspx",7010,1,7010,1,7010,1,7010,1,7010,1,7010,1,7010,1,7010,1,7010,1,7010,1,7010,1,7010,1,7010,1,7010,1,7010,1,7010,1,7011,1,7013,1,7013,1,7013,1,7013,1,7015,1,7015,1,7015,1,7015,1,7015,1,7016,1,7016,1,7017,1,7018,1,7018,1,7018,1,7019,1,7020,1,7020,1,7021,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1,7022,1
"Adolescent nutrition","Adolescent nutrition indicators: which ones should be included in surveys?","Natasha Lelijveld","2022-06-07","https://www.en-net.org/question/4584.aspx",1040,0,1040,0,1040,0,1040,0,1040,0,1040,0,1040,0,1040,0,1040,0,1040,0,1040,0,1040,0,1041,0,1041,0,1041,0,1041,0,1042,0,1043,0,1043,0,1043,0,1043,0,1045,0,1045,0,1045,0,1045,0,1045,0,1045,0,1046,0,1046,0,1047,0,1047,0,1047,0,1047,0,1047,0,1047,0,1047,0,1048,0,1048,0,1049,0,1049,0,1049,0,1049,0,1049,0,1049,0,1049,0,1049,0,1049,0,1049,0,1049,0,1049,0,1049,0,1050,0,1050,0,1050,0,1051,0,1051,0,1051,0,1051,0,1051,0,1051,0,1051,0,1051,0,1051,0,1051,0,1051,0,1051,0,1051,0,1051,0,1051,0,1051,0,1051,0,1051,0,1051,0,1051,0,1051,0,1051,0,1051,0,1051,0,1051,0,1051,0,1051,0,1051,0,1051,0,1052,0,1052,0,1052,0,1052,0
"Adolescent nutrition","Adolescent Nutrition Needs during Menstruation Period","Sandra Phiri","2022-11-18","https://www.en-net.org/question/4718.aspx",809,1,809,1,809,1,809,1,809,1,809,1,809,1,809,1,809,1,809,1,809,1,809,1,809,1,809,1,809,1,809,1,810,1,811,1,811,1,811,1,811,1,813,1,813,1,813,1,813,1,813,1,813,1,813,1,813,1,814,1,814,1,814,1,814,1,814,1,814,1,814,1,814,1,814,1,814,1,814,1,814,1,814,1,814,1,814,1,814,1,814,1,814,1,814,1,814,1,814,1,814,1,814,1,814,1,814,1,814,1,814,1,814,1,814,1,814,1,815,1,815,1,815,1,815,1,816,1,816,1,816,1,816,1,816,1,816,1,816,1,816,1,816,1,816,1,816,1,816,1,816,1,816,1,816,1,816,1,816,1,816,1,816,1,816,1,816,1,816,1,816,1,816,1
"Adolescent nutrition","adolescent school age nutrition education","Anonymous 23844","2018-07-04","https://www.en-net.org/question/3373.aspx",6505,1,6505,1,6505,1,6505,1,6505,1,6505,1,6505,1,6505,1,6505,1,6505,1,6505,1,6505,1,6505,1,6505,1,6505,1,6505,1,6505,1,6507,1,6507,1,6507,1,6507,1,6509,1,6509,1,6509,1,6510,1,6510,1,6510,1,6510,1,6511,1,6511,1,6511,1,6512,1,6513,1,6513,1,6513,1,6513,1,6513,1,6513,1,6513,1,6513,1,6513,1,6513,1,6513,1,6513,1,6513,1,6514,1,6514,1,6514,1,6514,1,6514,1,6514,1,6514,1,6514,1,6514,1,6514,1,6514,1,6514,1,6514,1,6514,1,6514,1,6514,1,6514,1,6514,1,6514,1,6514,1,6514,1,6514,1,6514,1,6514,1,6515,1,6515,1,6515,1,6515,1,6515,1,6515,1,6515,1,6515,1,6515,1,6515,1,6515,1,6515,1,6515,1,6515,1,6515,1,6515,1,6515,1,6515,1
"Adolescent nutrition","Adolescent school age nutrition education","Tamsin","2018-08-01","https://www.en-net.org/question/3403.aspx",6527,3,6527,3,6527,3,6527,3,6527,3,6527,3,6527,3,6527,3,6527,3,6527,3,6528,3,6528,3,6528,3,6528,3,6528,3,6528,3,6530,3,6530,3,6530,3,6530,3,6531,3,6533,3,6533,3,6533,3,6533,3,6533,3,6533,3,6533,3,6534,3,6534,3,6534,3,6534,3,6534,3,6534,3,6535,3,6535,3,6535,3,6535,3,6535,3,6535,3,6535,3,6535,3,6535,3,6537,3,6537,3,6537,3,6537,3,6537,3,6537,3,6537,3,6537,3,6537,3,6537,3,6537,3,6538,3,6538,3,6538,3,6538,3,6538,3,6538,3,6538,3,6538,3,6538,3,6538,3,6538,3,6538,3,6538,3,6538,3,6538,3,6538,3,6538,3,6538,3,6538,3,6538,3,6538,3,6538,3,6538,3,6539,3,6539,3,6539,3,6539,3,6539,3,6539,3,6539,3,6539,3,6539,3,6539,3
"Adolescent nutrition","Age group of adolescents","Anonymous 35931","2020-02-15","https://www.en-net.org/question/3853.aspx",5424,1,5424,1,5424,1,5424,1,5424,1,5424,1,5424,1,5424,1,5424,1,5424,1,5424,1,5424,1,5425,1,5425,1,5425,1,5425,1,5425,1,5427,1,5427,1,5427,1,5427,1,5429,1,5429,1,5429,1,5429,1,5429,1,5429,1,5429,1,5429,1,5430,1,5430,1,5430,1,5430,1,5430,1,5430,1,5430,1,5430,1,5430,1,5430,1,5430,1,5430,1,5430,1,5430,1,5430,1,5430,1,5430,1,5430,1,5430,1,5430,1,5430,1,5430,1,5430,1,5430,1,5430,1,5430,1,5430,1,5430,1,5430,1,5430,1,5430,1,5431,1,5431,1,5431,1,5432,1,5432,1,5432,1,5432,1,5432,1,5432,1,5432,1,5432,1,5432,1,5432,1,5432,1,5432,1,5432,1,5432,1,5432,1,5432,1,5432,1,5432,1,5432,1,5432,1,5433,1,5433,1,5433,1,5433,1
"Adolescent nutrition","anthropometry for adolescents?","Emily Mates","2018-06-29","https://www.en-net.org/question/3371.aspx",6768,2,6768,2,6768,2,6768,2,6768,2,6768,2,6768,2,6768,2,6768,2,6768,2,6768,2,6768,2,6768,2,6768,2,6769,2,6769,2,6772,2,6772,2,6772,2,6772,2,6772,2,6774,2,6774,2,6774,2,6774,2,6774,2,6774,2,6774,2,6775,2,6775,2,6775,2,6775,2,6775,2,6775,2,6775,2,6775,2,6775,2,6775,2,6775,2,6775,2,6775,2,6775,2,6775,2,6776,2,6776,2,6776,2,6776,2,6776,2,6776,2,6777,2,6777,2,6779,2,6779,2,6779,2,6779,2,6779,2,6779,2,6779,2,6779,2,6779,2,6779,2,6779,2,6779,2,6779,2,6779,2,6779,2,6779,2,6779,2,6779,2,6779,2,6779,2,6779,2,6779,2,6779,2,6779,2,6779,2,6779,2,6779,2,6779,2,6779,2,6779,2,6779,2,6779,2,6781,2,6781,2,6781,2,6781,2
"Adolescent nutrition","Assessing nutrition knowledge in adolescents","Ursula Truebswasser","2018-07-25","https://www.en-net.org/question/3391.aspx",6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6811,3,6813,3,6813,3,6813,3,6813,3,6813,3,6815,3,6816,3,6816,3,6816,3,6816,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3,6817,3
"Adolescent nutrition","Cut off BMI for adolescents up to 19 years old","Anonymous 35931","2021-08-22","https://www.en-net.org/question/4383.aspx",4205,1,4205,1,4205,1,4205,1,4205,1,4205,1,4205,1,4205,1,4205,1,4205,1,4205,1,4205,1,4205,1,4205,1,4205,1,4205,1,4206,1,4207,1,4207,1,4207,1,4207,1,4209,1,4209,1,4209,1,4209,1,4209,1,4209,1,4209,1,4209,1,4210,1,4210,1,4210,1,4210,1,4210,1,4210,1,4210,1,4210,1,4210,1,4210,1,4210,1,4210,1,4210,1,4210,1,4210,1,4210,1,4210,1,4210,1,4210,1,4210,1,4210,1,4210,1,4210,1,4212,1,4213,1,4213,1,4213,1,4213,1,4213,1,4213,1,4213,1,4214,1,4214,1,4214,1,4214,1,4214,1,4214,1,4214,1,4214,1,4214,1,4214,1,4214,1,4214,1,4214,1,4214,1,4214,1,4214,1,4215,1,4215,1,4215,1,4215,1,4215,1,4215,1,4215,1,4215,1,4215,1,4215,1,4215,1
