"Theme","Topic","Author","Posted","Link","Views_20230901_004721","Replies_20230901_004721","Views_20230901_015628","Replies_20230901_015628","Views_20230901_022818","Replies_20230901_022818","Views_20230901_031750","Replies_20230901_031750","Views_20230901_041854","Replies_20230901_041854","Views_20230901_051658","Replies_20230901_051658","Views_20230901_062028","Replies_20230901_062028","Views_20230901_071655","Replies_20230901_071655","Views_20230901_081952","Replies_20230901_081952","Views_20230901_091739","Replies_20230901_091739","Views_20230901_101743","Replies_20230901_101743","Views_20230901_111551","Replies_20230901_111551","Views_20230901_122347","Replies_20230901_122347","Views_20230901_131941","Replies_20230901_131941","Views_20230901_141636","Replies_20230901_141636","Views_20230901_151710","Replies_20230901_151710","Views_20230901_161845","Replies_20230901_161845","Views_20230901_171709","Replies_20230901_171709","Views_20230901_181750","Replies_20230901_181750","Views_20230901_191535","Replies_20230901_191535","Views_20230901_201732","Replies_20230901_201732","Views_20230901_211537","Replies_20230901_211537","Views_20230901_221617","Replies_20230901_221617","Views_20230901_231707","Replies_20230901_231707","Views_20230902_004349","Replies_20230902_004349","Views_20230902_014710","Replies_20230902_014710","Views_20230902_022016","Replies_20230902_022016","Views_20230902_031711","Replies_20230902_031711","Views_20230902_041809","Replies_20230902_041809","Views_20230902_051616","Replies_20230902_051616","Views_20230902_061902","Replies_20230902_061902","Views_20230902_071601","Replies_20230902_071601","Views_20230902_081859","Replies_20230902_081859","Views_20230902_091625","Replies_20230902_091625","Views_20230902_101657","Replies_20230902_101657","Views_20230902_111451","Replies_20230902_111451","Views_20230902_122210","Replies_20230902_122210","Views_20230902_131648","Replies_20230902_131648","Views_20230902_141542","Replies_20230902_141542","Views_20230902_151542","Replies_20230902_151542","Views_20230902_161731","Replies_20230902_161731","Views_20230902_171613","Replies_20230902_171613","Views_20230902_181749","Replies_20230902_181749","Views_20230902_191428","Replies_20230902_191428","Views_20230902_201628","Replies_20230902_201628","Views_20230902_211509","Replies_20230902_211509","Views_20230902_221541","Replies_20230902_221541","Views_20230902_231559","Replies_20230902_231559","Views_20230903_004744","Replies_20230903_004744","Views_20230903_015216","Replies_20230903_015216","Views_20230903_022408","Replies_20230903_022408","Views_20230903_031708","Replies_20230903_031708","Views_20230903_041820","Replies_20230903_041820","Views_20230903_051536","Replies_20230903_051536","Views_20230903_061834","Replies_20230903_061834","Views_20230903_071553","Replies_20230903_071553","Views_20230903_081838","Replies_20230903_081838","Views_20230903_091623","Replies_20230903_091623","Views_20230903_101639","Replies_20230903_101639","Views_20230903_111544","Replies_20230903_111544","Views_20230903_122207","Replies_20230903_122207","Views_20230903_131655","Replies_20230903_131655","Views_20230903_141609","Replies_20230903_141609","Views_20230903_151619","Replies_20230903_151619","Views_20230903_161812","Replies_20230903_161812","Views_20230903_171610","Replies_20230903_171610","Views_20230903_181736","Replies_20230903_181736","Views_20230903_191450","Replies_20230903_191450","Views_20230903_201638","Replies_20230903_201638","Views_20230903_211548","Replies_20230903_211548","Views_20230903_221605","Replies_20230903_221605","Views_20230903_231619","Replies_20230903_231619","Views_20230904_004601","Replies_20230904_004601","Views_20230904_015039","Replies_20230904_015039","Views_20230904_022401","Replies_20230904_022401","Views_20230904_031739","Replies_20230904_031739","Views_20230904_041926","Replies_20230904_041926","Views_20230904_051651","Replies_20230904_051651","Views_20230904_062047","Replies_20230904_062047","Views_20230904_071707","Replies_20230904_071707","Views_20230904_081957","Replies_20230904_081957","Views_20230904_091803","Replies_20230904_091803","Views_20230904_101855","Replies_20230904_101855","Views_20230904_111529","Replies_20230904_111529","Views_20230904_122408","Replies_20230904_122408","Views_20230904_131947","Replies_20230904_131947","Views_20230904_141646","Replies_20230904_141646","Views_20230904_151808","Replies_20230904_151808","Views_20230904_161937","Replies_20230904_161937","Views_20230904_171651","Replies_20230904_171651","Views_20230904_181856","Replies_20230904_181856","Views_20230904_191636","Replies_20230904_191636","Views_20230904_201638","Replies_20230904_201638","Views_20230904_221620","Replies_20230904_221620","Views_20230904_231706","Replies_20230904_231706","Views_20230905_004426","Replies_20230905_004426","Views_20230905_014859","Replies_20230905_014859","Views_20230905_022257","Replies_20230905_022257","Views_20230905_031757","Replies_20230905_031757","Views_20230905_051735","Replies_20230905_051735","Views_20230905_062011","Replies_20230905_062011","Views_20230905_071710","Replies_20230905_071710","Views_20230905_082035","Replies_20230905_082035","Views_20230905_101731","Replies_20230905_101731","Views_20230905_111622","Replies_20230905_111622","Views_20230905_122346","Replies_20230905_122346","Views_20230905_132042","Replies_20230905_132042","Views_20230905_141756","Replies_20230905_141756","Views_20230905_151721","Replies_20230905_151721","Views_20230905_161901","Replies_20230905_161901","Views_20230905_171615","Replies_20230905_171615","Views_20230905_181932","Replies_20230905_181932","Views_20230905_191533","Replies_20230905_191533","Views_20230905_201739","Replies_20230905_201739"
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3362.aspx",6908,1,6908,1,6909,1,6909,1,6909,1,6909,1,6909,1,6909,1,6909,1,6909,1,6909,1,6909,1,6909,1,6909,1,6909,1,6909,1,6909,1,6909,1,6909,1,6909,1,6909,1,6909,1,6909,1,6909,1,6909,1,6910,1,6910,1,6910,1,6910,1,6910,1,6910,1,6910,1,6910,1,6910,1,6910,1,6910,1,6910,1,6910,1,6910,1,6910,1,6910,1,6910,1,6910,1,6910,1,6911,1,6911,1,6911,1,6911,1,6911,1,6911,1,6911,1,6911,1,6911,1,6911,1,6911,1,6911,1,6911,1,6911,1,6911,1,6911,1,6911,1,6911,1,6911,1,6911,1,6911,1,6911,1,6911,1,6911,1,6911,1,6911,1,6911,1,6911,1,6911,1,6911,1,6911,1,6911,1,6911,1,6911,1,6911,1,6911,1,6911,1,6911,1,6911,1,6911,1,6912,1,6913,1,6914,1,6914,1,6916,1,6917,1,6917,1,6917,1,6917,1,6918,1,6918,1,6918,1,6918,1,6918,1,6918,1,6918,1,6918,1,6918,1,6918,1,6918,1,6918,1,6918,1,6918,1,6918,1,6918,1,6918,1,6918,1,6918,1,6918,1,6918,1
"Adolescent nutrition","adolescent malnutrition","Anonymous 23844","2018-06-21","https://www.en-net.org/question/3363.aspx",6940,1,6940,1,6940,1,6940,1,6940,1,6940,1,6942,1,6942,1,6942,1,6943,1,6943,1,6943,1,6943,1,6943,1,6943,1,6943,1,6943,1,6943,1,6943,1,6943,1,6943,1,6943,1,6943,1,6943,1,6943,1,6943,1,6943,1,6943,1,6943,1,6943,1,6943,1,6943,1,6943,1,6943,1,6943,1,6943,1,6943,1,6943,1,6943,1,6943,1,6943,1,6943,1,6943,1,6943,1,6944,1,6944,1,6945,1,6945,1,6945,1,6945,1,6945,1,6945,1,6945,1,6945,1,6945,1,6945,1,6945,1,6945,1,6945,1,6945,1,6945,1,6945,1,6945,1,6945,1,6945,1,6945,1,6946,1,6946,1,6946,1,6946,1,6946,1,6946,1,6946,1,6946,1,6946,1,6946,1,6946,1,6946,1,6946,1,6946,1,6946,1,6946,1,6946,1,6946,1,6947,1,6948,1,6949,1,6949,1,6951,1,6952,1,6952,1,6952,1,6952,1,6952,1,6953,1,6953,1,6953,1,6953,1,6953,1,6954,1,6954,1,6954,1,6954,1,6954,1,6954,1,6955,1,6955,1,6955,1,6956,1,6956,1,6957,1,6957,1,6957,1,6957,1
"Adolescent nutrition","Adolescent nutrition indicators: which ones should be included in surveys?","Natasha Lelijveld","2022-06-07","https://www.en-net.org/question/4584.aspx",973,0,973,0,973,0,973,0,973,0,973,0,973,0,973,0,973,0,973,0,973,0,973,0,973,0,974,0,974,0,974,0,974,0,974,0,974,0,974,0,974,0,974,0,974,0,974,0,974,0,974,0,974,0,974,0,974,0,974,0,974,0,974,0,974,0,974,0,974,0,974,0,974,0,974,0,974,0,974,0,974,0,974,0,974,0,974,0,974,0,975,0,975,0,975,0,975,0,975,0,975,0,975,0,975,0,975,0,975,0,975,0,975,0,975,0,975,0,975,0,975,0,976,0,976,0,976,0,976,0,976,0,976,0,976,0,976,0,976,0,976,0,976,0,976,0,977,0,977,0,977,0,977,0,977,0,977,0,979,0,979,0,979,0,979,0,980,0,982,0,982,0,983,0,983,0,985,0,985,0,985,0,985,0,985,0,985,0,985,0,986,0,986,0,986,0,986,0,986,0,986,0,986,0,986,0,986,0,986,0,986,0,986,0,986,0,986,0,986,0,988,0,988,0,988,0,988,0
"Adolescent nutrition","Adolescent Nutrition Needs during Menstruation Period","Sandra Phiri","2022-11-18","https://www.en-net.org/question/4718.aspx",748,1,748,1,748,1,748,1,748,1,748,1,748,1,748,1,748,1,748,1,748,1,748,1,748,1,748,1,748,1,748,1,748,1,748,1,748,1,748,1,748,1,748,1,748,1,748,1,748,1,748,1,748,1,748,1,748,1,749,1,749,1,749,1,749,1,749,1,749,1,749,1,749,1,749,1,749,1,749,1,749,1,749,1,749,1,749,1,749,1,750,1,750,1,750,1,750,1,750,1,750,1,751,1,752,1,752,1,752,1,752,1,752,1,752,1,752,1,752,1,752,1,752,1,752,1,752,1,753,1,753,1,753,1,753,1,753,1,753,1,753,1,753,1,753,1,754,1,754,1,754,1,754,1,754,1,754,1,755,1,755,1,755,1,756,1,756,1,758,1,758,1,758,1,758,1,760,1,760,1,760,1,760,1,761,1,761,1,761,1,761,1,761,1,761,1,762,1,762,1,762,1,762,1,762,1,762,1,763,1,763,1,763,1,763,1,763,1,763,1,763,1,763,1,763,1,763,1
"Adolescent nutrition","adolescent school age nutrition education","Anonymous 23844","2018-07-04","https://www.en-net.org/question/3373.aspx",6441,1,6441,1,6441,1,6442,1,6442,1,6442,1,6442,1,6442,1,6442,1,6442,1,6442,1,6442,1,6442,1,6442,1,6442,1,6442,1,6442,1,6442,1,6442,1,6442,1,6442,1,6442,1,6442,1,6442,1,6442,1,6442,1,6442,1,6442,1,6443,1,6443,1,6443,1,6443,1,6443,1,6443,1,6443,1,6443,1,6443,1,6443,1,6443,1,6443,1,6443,1,6443,1,6443,1,6443,1,6444,1,6444,1,6444,1,6444,1,6444,1,6444,1,6444,1,6444,1,6444,1,6444,1,6444,1,6444,1,6444,1,6444,1,6444,1,6444,1,6444,1,6444,1,6444,1,6444,1,6444,1,6445,1,6445,1,6445,1,6445,1,6445,1,6445,1,6445,1,6445,1,6445,1,6445,1,6445,1,6445,1,6445,1,6446,1,6446,1,6446,1,6446,1,6446,1,6446,1,6447,1,6448,1,6449,1,6449,1,6451,1,6451,1,6451,1,6451,1,6451,1,6451,1,6451,1,6451,1,6451,1,6451,1,6451,1,6451,1,6451,1,6451,1,6451,1,6451,1,6451,1,6451,1,6451,1,6451,1,6451,1,6451,1,6451,1,6451,1,6451,1,6451,1
"Adolescent nutrition","Adolescent school age nutrition education","Tamsin","2018-08-01","https://www.en-net.org/question/3403.aspx",6472,3,6472,3,6472,3,6472,3,6472,3,6472,3,6473,3,6474,3,6474,3,6474,3,6474,3,6474,3,6474,3,6474,3,6474,3,6475,3,6475,3,6475,3,6475,3,6475,3,6475,3,6475,3,6476,3,6476,3,6476,3,6476,3,6476,3,6476,3,6476,3,6476,3,6476,3,6476,3,6476,3,6476,3,6476,3,6476,3,6476,3,6476,3,6476,3,6476,3,6476,3,6476,3,6476,3,6476,3,6477,3,6477,3,6477,3,6477,3,6477,3,6477,3,6477,3,6477,3,6477,3,6477,3,6477,3,6477,3,6477,3,6477,3,6477,3,6477,3,6477,3,6477,3,6477,3,6477,3,6477,3,6477,3,6477,3,6477,3,6477,3,6477,3,6477,3,6477,3,6477,3,6477,3,6477,3,6477,3,6477,3,6477,3,6477,3,6477,3,6477,3,6477,3,6477,3,6477,3,6478,3,6479,3,6480,3,6480,3,6482,3,6482,3,6483,3,6483,3,6483,3,6484,3,6484,3,6484,3,6485,3,6485,3,6485,3,6485,3,6485,3,6485,3,6485,3,6485,3,6485,3,6485,3,6485,3,6485,3,6485,3,6485,3,6485,3,6485,3,6485,3,6485,3
"Adolescent nutrition","Age group of adolescents","Anonymous 35931","2020-02-15","https://www.en-net.org/question/3853.aspx",5365,1,5366,1,5366,1,5366,1,5366,1,5366,1,5367,1,5367,1,5367,1,5367,1,5367,1,5367,1,5367,1,5367,1,5367,1,5367,1,5367,1,5367,1,5367,1,5367,1,5367,1,5367,1,5367,1,5367,1,5367,1,5367,1,5367,1,5367,1,5367,1,5367,1,5367,1,5367,1,5367,1,5367,1,5367,1,5367,1,5367,1,5367,1,5367,1,5367,1,5367,1,5367,1,5367,1,5367,1,5368,1,5368,1,5368,1,5368,1,5368,1,5368,1,5368,1,5368,1,5368,1,5368,1,5368,1,5368,1,5368,1,5368,1,5368,1,5368,1,5368,1,5368,1,5368,1,5368,1,5368,1,5368,1,5368,1,5368,1,5368,1,5368,1,5368,1,5368,1,5368,1,5368,1,5368,1,5368,1,5368,1,5368,1,5368,1,5368,1,5368,1,5368,1,5368,1,5368,1,5369,1,5371,1,5371,1,5371,1,5373,1,5373,1,5373,1,5373,1,5373,1,5373,1,5374,1,5374,1,5374,1,5374,1,5374,1,5374,1,5374,1,5374,1,5374,1,5374,1,5374,1,5374,1,5374,1,5374,1,5375,1,5375,1,5375,1,5375,1,5375,1,5376,1
"Adolescent nutrition","anthropometry for adolescents?","Emily Mates","2018-06-29","https://www.en-net.org/question/3371.aspx",6710,2,6710,2,6710,2,6710,2,6710,2,6710,2,6710,2,6710,2,6711,2,6711,2,6711,2,6711,2,6711,2,6711,2,6711,2,6711,2,6711,2,6711,2,6711,2,6711,2,6711,2,6711,2,6711,2,6711,2,6711,2,6711,2,6711,2,6711,2,6711,2,6711,2,6711,2,6711,2,6711,2,6711,2,6711,2,6711,2,6711,2,6711,2,6711,2,6711,2,6711,2,6711,2,6711,2,6711,2,6712,2,6712,2,6712,2,6712,2,6712,2,6712,2,6712,2,6712,2,6712,2,6712,2,6712,2,6712,2,6712,2,6712,2,6712,2,6712,2,6712,2,6713,2,6713,2,6713,2,6713,2,6713,2,6713,2,6713,2,6713,2,6713,2,6713,2,6713,2,6713,2,6713,2,6713,2,6713,2,6713,2,6713,2,6713,2,6713,2,6713,2,6713,2,6713,2,6713,2,6714,2,6715,2,6716,2,6716,2,6718,2,6718,2,6718,2,6718,2,6718,2,6718,2,6718,2,6718,2,6718,2,6718,2,6718,2,6718,2,6718,2,6718,2,6718,2,6719,2,6719,2,6719,2,6719,2,6719,2,6719,2,6719,2,6719,2,6719,2,6719,2,6719,2
"Adolescent nutrition","Assessing nutrition knowledge in adolescents","Ursula Truebswasser","2018-07-25","https://www.en-net.org/question/3391.aspx",6747,3,6747,3,6747,3,6747,3,6747,3,6747,3,6747,3,6747,3,6747,3,6747,3,6747,3,6747,3,6747,3,6747,3,6747,3,6747,3,6747,3,6748,3,6748,3,6748,3,6748,3,6748,3,6748,3,6748,3,6748,3,6748,3,6748,3,6748,3,6748,3,6748,3,6748,3,6748,3,6748,3,6748,3,6748,3,6748,3,6748,3,6748,3,6748,3,6748,3,6748,3,6748,3,6748,3,6748,3,6749,3,6749,3,6749,3,6749,3,6749,3,6749,3,6749,3,6749,3,6749,3,6749,3,6749,3,6749,3,6749,3,6749,3,6749,3,6749,3,6749,3,6749,3,6749,3,6749,3,6749,3,6750,3,6750,3,6750,3,6750,3,6750,3,6750,3,6750,3,6750,3,6750,3,6750,3,6750,3,6750,3,6750,3,6750,3,6750,3,6750,3,6750,3,6750,3,6750,3,6750,3,6750,3,6753,3,6753,3,6753,3,6755,3,6755,3,6755,3,6755,3,6755,3,6755,3,6757,3,6758,3,6758,3,6758,3,6758,3,6758,3,6758,3,6758,3,6758,3,6758,3,6758,3,6759,3,6759,3,6759,3,6759,3,6759,3,6759,3,6759,3,6759,3
"Adolescent nutrition","Cut off BMI for adolescents up to 19 years old","Anonymous 35931","2021-08-22","https://www.en-net.org/question/4383.aspx",4142,1,4142,1,4142,1,4142,1,4142,1,4142,1,4142,1,4142,1,4142,1,4142,1,4142,1,4142,1,4142,1,4142,1,4142,1,4142,1,4142,1,4142,1,4142,1,4142,1,4142,1,4142,1,4142,1,4142,1,4142,1,4142,1,4142,1,4142,1,4142,1,4142,1,4142,1,4142,1,4142,1,4142,1,4142,1,4142,1,4142,1,4142,1,4142,1,4142,1,4142,1,4142,1,4142,1,4142,1,4142,1,4143,1,4143,1,4143,1,4143,1,4143,1,4143,1,4144,1,4144,1,4144,1,4144,1,4144,1,4144,1,4144,1,4144,1,4146,1,4146,1,4146,1,4146,1,4146,1,4146,1,4146,1,4146,1,4146,1,4146,1,4146,1,4146,1,4146,1,4146,1,4146,1,4146,1,4146,1,4146,1,4146,1,4147,1,4147,1,4147,1,4147,1,4147,1,4148,1,4150,1,4150,1,4150,1,4150,1,4152,1,4152,1,4152,1,4153,1,4153,1,4153,1,4153,1,4153,1,4154,1,4154,1,4154,1,4154,1,4154,1,4154,1,4154,1,4154,1,4154,1,4154,1,4154,1,4154,1,4154,1,4154,1,4154,1,4154,1,4154,1,4154,1
