"Theme","Extraction Date","Replies","Views","New Replies","New Views","nPosts"
"Adolescent nutrition",2020-12-27,19,23059,0,0,13
"Adolescent nutrition",2020-12-28,19,23084,0,25,13
"Adolescent nutrition",2020-12-29,19,23125,0,41,13
"Adolescent nutrition",2020-12-30,19,23177,0,52,13
"Adolescent nutrition",2020-12-31,19,23249,0,72,13
"Adolescent nutrition",2022-01-01,38,50505,19,27256,30
"Adolescent nutrition",2022-01-02,38,50603,0,98,30
"Adolescent nutrition",2022-01-03,38,51107,0,504,30
"Adolescent nutrition",2022-01-04,38,51837,0,730,30
"Adolescent nutrition",2022-01-05,42,52484,4,647,30
"Adolescent nutrition",2022-01-06,42,52681,0,197,30
"Adolescent nutrition",2022-01-07,42,53188,0,507,30
"Announcements & Nutritionists needed",2020-12-27,0,4708284,0,0,1241
"Announcements & Nutritionists needed",2020-12-28,0,4710740,0,2456,1241
"Announcements & Nutritionists needed",2020-12-29,0,4713491,0,2751,1241
"Announcements & Nutritionists needed",2020-12-30,0,4718351,0,4860,1241
"Announcements & Nutritionists needed",2020-12-31,0,4722416,0,4065,1241
"Announcements & Nutritionists needed",2022-01-01,0,5897460,0,1175044,1342
"Announcements & Nutritionists needed",2022-01-02,0,5901578,0,4118,1342
"Announcements & Nutritionists needed",2022-01-03,0,5925023,0,23445,1342
"Announcements & Nutritionists needed",2022-01-04,0,5957393,0,32370,1342
"Announcements & Nutritionists needed",2022-01-05,0,5986488,0,29095,1342
"Announcements & Nutritionists needed",2022-01-06,0,5994399,0,7911,1342
"Announcements & Nutritionists needed",2022-01-07,0,6017730,0,23331,1342
"Assessment and Surveillance",2020-12-27,2097,2388826,0,0,456
"Assessment and Surveillance",2020-12-28,2097,2389949,0,1123,456
"Assessment and Surveillance",2020-12-29,2097,2391143,0,1194,456
"Assessment and Surveillance",2020-12-30,2097,2393233,0,2090,456
"Assessment and Surveillance",2020-12-31,2097,2395162,0,1929,456
"Assessment and Surveillance",2022-01-01,2498,3712087,401,1316925,570
"Assessment and Surveillance",2022-01-02,2498,3714936,0,2849,570
"Assessment and Surveillance",2022-01-03,2498,3725313,0,10377,570
"Assessment and Surveillance",2022-01-04,2498,3739418,0,14105,570
"Assessment and Surveillance",2022-01-05,2498,3751746,0,12328,570
"Assessment and Surveillance",2022-01-06,2498,3755158,0,3412,570
"Assessment and Surveillance",2022-01-07,2498,3765266,0,10108,570
"Coverage assessment",2020-12-27,328,524927,0,0,93
"Coverage assessment",2020-12-28,328,525437,0,510,93
"Coverage assessment",2020-12-29,328,525862,0,425,93
"Coverage assessment",2020-12-30,328,526637,0,775,93
"Coverage assessment",2020-12-31,328,527617,0,980,93
"COVID-19 and nutrition programming",2020-12-27,131,65878,0,0,84
"COVID-19 and nutrition programming",2020-12-28,131,66088,0,210,84
"COVID-19 and nutrition programming",2020-12-29,131,66308,0,220,84
"COVID-19 and nutrition programming",2020-12-30,131,66739,0,431,84
"COVID-19 and nutrition programming",2020-12-31,131,67147,0,408,84
"COVID-19 and nutrition programming",2022-01-01,138,158567,7,91420,88
"COVID-19 and nutrition programming",2022-01-02,138,158865,0,298,88
"COVID-19 and nutrition programming",2022-01-03,138,160409,0,1544,88
"COVID-19 and nutrition programming",2022-01-04,138,162576,0,2167,88
"COVID-19 and nutrition programming",2022-01-05,138,164447,0,1871,88
"COVID-19 and nutrition programming",2022-01-06,138,165100,0,653,88
"COVID-19 and nutrition programming",2022-01-07,138,166799,0,1699,88
"Cross-cutting issues",2020-12-27,90,195370,0,0,47
"Cross-cutting issues",2020-12-28,90,195447,0,77,47
"Cross-cutting issues",2020-12-29,90,195553,0,106,47
"Cross-cutting issues",2020-12-30,90,195738,0,185,47
"Cross-cutting issues",2020-12-31,90,195961,0,223,47
"Cross-cutting issues",2022-01-01,90,242594,0,46633,48
"Cross-cutting issues",2022-01-02,90,242767,0,173,48
"Cross-cutting issues",2022-01-03,90,243648,0,881,48
"Cross-cutting issues",2022-01-04,90,244822,0,1174,48
"Cross-cutting issues",2022-01-05,90,245850,0,1028,48
"Cross-cutting issues",2022-01-06,90,246210,0,360,48
"Cross-cutting issues",2022-01-07,90,247064,0,854,48
"Food assistance",2020-12-27,63,161124,0,0,32
"Food assistance",2020-12-28,63,161289,0,165,32
"Food assistance",2020-12-29,63,161421,0,132,32
"Food assistance",2020-12-30,63,161689,0,268,32
"Food assistance",2020-12-31,63,161994,0,305,32
"Food assistance",2022-01-01,67,241052,4,79058,33
"Food assistance",2022-01-02,67,241161,0,109,33
"Food assistance",2022-01-03,67,241739,0,578,33
"Food assistance",2022-01-04,67,242550,0,811,33
